startup_id,company_name,primary_sector,company_stage,city,state,founding_year,age_years,completeness_pct,notes
S0001,Juspay,fintech payments infrastructure,unicorn (Series D),Bengaluru,Karnataka,2012,14,95.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0002,KreditBee,fintech lending,"unicorn (Series E, Apr 2026)",Bengaluru,Karnataka,,,97.9,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0003,PhonePe,fintech payments,"late / pre-IPO (confidential DRHP Sep 2025, UDRHP Jan 2026)",Bengaluru,Karnataka,,,91.7,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0004,Razorpay,fintech infra,"unicorn / pre-IPO (confidential DRHP Jun 12, 2026)",Bengaluru,Karnataka,,,64.6,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0005,Zepto,quick commerce,"unicorn / pre-IPO (confidential DRHP Dec 27, 2025; SEBI observations May 2026; UDRHP Jun 2026)",Mumbai,Maharashtra,,,95.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0006,Neysa,AI cloud infrastructure,Unicorn,Mumbai,Maharashtra,2023,3,83.3,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0007,Amagi,media-tech SaaS,public,Bengaluru,Karnataka,2008,18,64.6,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0008,CRED,fintech,late (unicorn),Bengaluru,Karnataka,2018,8,64.6,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0009,Darwinbox,HR-tech SaaS,late (unicorn),Hyderabad,Telangana,2015,11,60.4,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0010,Emergent,AI dev-tools / vibe-coding,unicorn,Bengaluru,Karnataka,2024,2,58.3,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0011,Groww,fintech wealthtech,Public (listed Nov 2025),Bengaluru,Karnataka,2016,10,87.5,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0012,Gupshup,AI / conversational SaaS,Late-stage unicorn (valuation disputed),Mumbai,,2004,22,72.9,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0013,Krutrim,AI / AI cloud infrastructure,Unicorn,Bengaluru,Karnataka,2023,3,91.7,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0014,Sarvam AI,AI / LLMs / sovereign models,Unicorn (June 2026),Bengaluru,,2023,3,56.2,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0015,Slice,fintech / digital banking,"Unicorn (2021, $1B+); banking pivot with valuation reset 2026",Bengaluru,Karnataka,,,68.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0016,upGrad,Edtech / skilling,Unicorn,Mumbai,Maharashtra,2015,11,91.7,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0017,BrowserStack,SaaS / dev testing,Unicorn,Mumbai,,2011,15,93.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0018,Dhan,fintech/broking,unicorn,Mumbai,Maharashtra,2021,5,89.6,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0019,PharmEasy,healthtech/pharmacy,unicorn (stressed/down-round),Mumbai,Maharashtra,2015,11,89.6,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0020,Snapmint,fintech/bnpl,late-stage (Series B),Mumbai,Maharashtra,2017,9,66.7,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0021,Upstox,fintech/broking,unicorn,Mumbai,Maharashtra,2009,17,89.6,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0022,Udaan,b2b commerce,"Series H, IPO-track",Bengaluru,Karnataka,2016,10,72.9,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0023,ACKO,insurtech,"Unicorn (late stage, IPO-bound)",Bengaluru,Karnataka,2016,10,75.0,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0024,CoinSwitch Kuber,crypto/fintech,Unicorn (Series C),Bengaluru,,2017,9,66.7,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0025,Cult.fit (CureFit),fitness/healthtech,"Unicorn, DRHP filed Jul 2026",Bengaluru,Karnataka,2016,10,75.0,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0026,Fireflies AI,AI / meeting transcription,Unicorn (tender valuation),San Francisco / Pleasanton,,,,66.7,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0027,Hasura,SaaS / API platform (GraphQL),Unicorn (Series C),Bengaluru,,,,50.0,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0028,Icertis,SaaS / contract lifecycle management,"Unicorn, late-stage",Pune,,,,58.3,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0029,LeadSquared,SaaS / CRM,Unicorn (Series C),Bengaluru,Karnataka,,,93.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0030,MoEngage,SaaS / customer engagement,"Late (Series F, pre-IPO)",Bengaluru,Karnataka,2014,12,72.9,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0031,Moneyview,fintech / digital lending,"Unicorn, IPO-bound (DRHP filed)",Bengaluru,Karnataka,2014,12,66.7,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0032,Mu Sigma,analytics / decision sciences / AI,Mature unicorn (private),Bengaluru,Karnataka,2004,22,97.9,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0033,Netradyne,AI / computer vision / fleet safety telematics,Unicorn (Series D),Bengaluru,Karnataka,2015,11,72.9,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0034,Postman,saas/api dev,"Unicorn (Series D, private)",Bengaluru,Karnataka,2014,12,91.7,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0035,Zeta,fintech/card infra,unicorn,Bengaluru,Karnataka,2015,11,91.7,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0036,Flipkart,ecommerce,mature private (decacorn),Bengaluru,Karnataka,2007,19,91.7,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0037,Porter,logistics,unicorn (2025),Bengaluru,Karnataka,2014,12,85.4,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0038,Unacademy,edtech,acquired/ex-Unicorn,Bengaluru,Karnataka,2015,11,87.5,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0039,Vedantu,edtech live classes,unicorn,Bengaluru,Karnataka,2014,12,54.2,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0040,Zetwerk,b2b manufacturing,"unicorn (late-stage, IPO pipeline)",Bengaluru,Karnataka,2018,8,95.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0041,Dream11 (Dream Sports),gaming/fantasy sports,Unicorn,Mumbai,Maharashtra,2008,18,68.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0042,InMobi,adtech,"Unicorn (late stage, IPO-bound)",Bengaluru,Karnataka,2007,19,95.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0043,Nykaa,D2C beauty / beauty-tech retail,Public,Mumbai,Maharashtra,2012,14,68.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0044,Rebel Foods,foodtech/cloud kitchen,"Unicorn (late-stage, pre-IPO)",Mumbai,Maharashtra,2011,15,93.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0045,Drools,D2C pet food / consumer goods,Late stage / unicorn (May 2025),Bengaluru,,2009,17,81.2,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0046,Fractal Analytics,enterprise AI/analytics,Public (listed Feb 2026; ex-unicorn),Mumbai,Maharashtra,2000,26,64.6,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0047,Jumbotail,B2B ecommerce (food & grocery),"Unicorn (Series D, June 2025, >$1B post-money)","Bengaluru, Karnataka",,2015,11,93.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0048,Livspace,Home interiors marketplace,"Unicorn (Series F, Feb 2022, $1.2B)",Bengaluru,,2014,12,91.7,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0049,Meesho,Horizontal ecommerce / social commerce,Public (IPO Dec 2025),"Bengaluru, Karnataka",,2015,11,93.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0050,Ola (ANI Technologies),Mobility / road transport tech,"Late stage Series J; markdown era (Vanguard marks down to ~$2B Nov 2024, $70M Feb 2026 per ET snippet)",Bengaluru,Karnataka,2010,16,50.0,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0051,Rapido,Mobility / road transport tech (bike taxi-led multimodal),Series F; $3B post-money (May 2026),"Bengaluru, Karnataka",,2015,11,95.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0052,ShareChat,social media,late / pre-IPO (unicorn),Bengaluru,Karnataka,2015,11,93.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0053,Apna,hr-tech/jobs,Series C / unicorn,Bengaluru,Karnataka,2019,7,95.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0054,BharatPe,fintech payments/lending,Unicorn (Series E),New Delhi,,2018,8,70.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0055,Euler Motors,ev commercial,Series E / growth,Delhi,,2018,8,87.5,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0056,Fibe (EarlySalary),fintech lending,Series E / IPO-bound (DRHP chatter 2025),Pune,,2015,11,39.6,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0057,Innovaccer,healthtech saas/ai,Unicorn (Series F),Noida,Uttar Pradesh,2014,12,56.2,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0058,Pixxel,spacetech,growth (Series C),Bengaluru,Karnataka,,,79.2,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0059,Ecofy Finance (Ecofy),fintech lending green,growth (Series B),Mumbai,Maharashtra,2022,4,58.3,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0060,Miko Technologies,edtech robotics / consumer AI robots,Series D (soonicorn),Mumbai,Maharashtra,2015,11,58.3,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0061,Nua,healthtech / femtech D2C wellness,Series C,Mumbai,Maharashtra,2017,9,83.3,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0062,Truemeds,healthtech pharmacy,Series C,Mumbai,Maharashtra,2019,7,89.6,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0063,Weaver Services,fintech (housing finance),Growth,Mumbai,Maharashtra,2024,2,91.7,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0064,NoBroker,proptech,Series E / unicorn,Bengaluru,Karnataka,2014,12,93.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0065,Skyroot Aerospace,spacetech launch,Unicorn,Hyderabad,Telangana,2018,8,60.4,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0066,Digantara,spacetech ssa,Series B / growth,Bengaluru,Karnataka,2020,6,85.4,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0067,Games24x7,gaming (real-money skill gaming),"Unicorn (Series C-era; $2.5B, 2022)",Mumbai,Maharashtra,2006,20,89.6,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0068,Infra.Market,B2B construction materials,"unicorn, pre-IPO (confidential DRHP filed)",Thane,,2016,10,97.9,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0069,Kinara AI,edge-ai chips,acquired,Hyderabad,,2014,12,37.5,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0070,Navi,fintech,late,Bengaluru,Karnataka,2018,8,93.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0071,Ninjacart,agritech supply chain,Series D/E late,Bengaluru,Karnataka,2015,11,91.7,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0072,Pine Labs,fintech,Public (listed Nov 2025),Noida,Uttar Pradesh,1998,28,87.5,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0073,River Mobility,EV two-wheeler,Series C,Bengaluru,,2021,5,50.0,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0074,Rocketlane,SaaS (PSA / onboarding),Series C,Chennai,,2020,6,52.1,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0075,Ultrahuman,healthtech / wearables,Series C,Bengaluru,Karnataka,2019,7,93.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0076,Third Wave Coffee,F&B / coffee chain (QSR),Growth (Series C+),Bengaluru,Karnataka,2016,10,81.2,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0077,Celcius Logistics,logistics cold chain,Series B,Navi Mumbai,,2020,6,62.5,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0078,Square Yards,proptech,Unicorn (pre-IPO),Gurugram,Haryana,2014,12,91.7,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0079,Wint Wealth,fintech wealthtech,Series B,Bengaluru,Karnataka,2020,6,54.2,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0080,Airbound,Aerospace / drone logistics,Early (Series A),Bengaluru,Karnataka,2023,3,43.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0081,Ati Motors,Robotics / industrial automation (AMR),Growth (Series B),Bengaluru,Karnataka,2017,9,47.9,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0082,Sapiom,AI infrastructure / agentic tooling,Early (Series A),San Francisco,,,,35.4,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0083,boAt,consumer electronics,Late/pre-IPO (UDRHP filed),Delhi NCR,,2016,10,56.2,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0084,MobiKwik,fintech,Public (listed Dec 2024),Gurugram,Haryana,2008,18,62.5,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0085,OfBusiness,B2B supply-chain commerce / fintech,Unicorn (Series G+),Gurugram,Haryana,2015,11,97.9,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0086,Pristyn Care,healthtech (elective surgery chain),Unicorn (Series E),Gurugram,Haryana,2018,8,68.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0087,Swish,Foodtech / 10-min food delivery,Early (Series B),Bengaluru,Karnataka,2024,2,83.3,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0088,Hang Ten Systems,AI enterprise software services,seed,Bengaluru,Karnataka,2026,0,37.5,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0089,Moonrider,EV tractors / agri-tech,series-a,Bengaluru,Karnataka,,,43.8,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0090,Toddle,edtech SaaS,series-a,Bengaluru,Karnataka,2019,7,100.0,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0091,Inito,healthtech diagnostics,series-b,Bengaluru,Karnataka,2015,11,39.6,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0092,Akasa Air,aviation,growth,Mumbai,Maharashtra,2021,5,97.9,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0093,EatClub (BOX8),foodtech cloud kitchen,late (Series D),Mumbai,Maharashtra,2012,14,87.5,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0094,Eruditus,edtech exec education,late (Series F unicorn),Mumbai,Maharashtra,2010,16,87.5,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
S0095,Innovist,d2c beauty,acquired-majority (Series B),Gurugram,Haryana,2018,8,91.7,DERIVED analytics layer; no fabricated claims; sample-size shown in notes column.
