startup_id,company,funding_trend,revenue_trend,revenue_trend_basis,profitability_trend,profitability_period,hiring_trend,product_trend,conflicts_open,confidence,evidence_count,notes
S0001,Juspay,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",PROFITABLE,2025,INSUFFICIENT_DATA,products=7;tech=0,5,HIGH,12,directions from grouped comparable FY series only; profitability basis=PROFITABLE
S0002,KreditBee,MULTI-ROUND (dated events; direction not inferred),DOWN,">=2 distinct FYs, same metric+unit+currency; n_obs=2",MIXED,2026,INSUFFICIENT_DATA,products=11;tech=0,7,HIGH,19,directions from grouped comparable FY series only; profitability basis=MIXED
S0003,PhonePe,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=15;tech=0,5,HIGH,21,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0004,Razorpay,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=0",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=1;tech=0,1,MEDIUM,5,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0005,Zepto,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2026,EVIDENCE_PRESENT,products=7;tech=0,5,HIGH,20,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0006,Neysa,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=1",INSUFFICIENT_DATA,,EVIDENCE_PRESENT,products=3;tech=1,3,HIGH,11,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0007,Amagi,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",PROFITABLE,2026,EVIDENCE_PRESENT,products=1;tech=0,1,MEDIUM,6,directions from grouped comparable FY series only; profitability basis=PROFITABLE
S0008,CRED,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",LOSS-MAKING,2025,INSUFFICIENT_DATA,products=2;tech=0,1,MEDIUM,6,directions from grouped comparable FY series only; profitability basis=LOSS-MAKING
S0009,Darwinbox,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=1",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=1;tech=0,1,MEDIUM,5,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0010,Emergent,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=1",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=1;tech=0,1,MEDIUM,6,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0011,Groww,MULTI-ROUND (dated events; direction not inferred),MIXED,">=2 distinct FYs, same metric+unit+currency; n_obs=4",PROFITABLE,2027,INSUFFICIENT_DATA,products=10;tech=0,8,HIGH,19,directions from grouped comparable FY series only; profitability basis=PROFITABLE
S0012,Gupshup,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=0",INSUFFICIENT_DATA,,EVIDENCE_PRESENT,products=2;tech=1,2,MEDIUM,9,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0013,Krutrim,MULTI-ROUND (dated events; direction not inferred),UP,">=2 distinct FYs, same metric+unit+currency; n_obs=2",INSUFFICIENT_DATA,,EVIDENCE_PRESENT,products=9;tech=1,4,HIGH,17,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0014,Sarvam AI,MULTI-ROUND (dated events; direction not inferred),INSUFFICIENT_DATA,">=2 distinct FYs, same metric+unit+currency; n_obs=0",INSUFFICIENT_DATA,,INSUFFICIENT_DATA,products=2;tech=1,1,MEDIUM,8,directions from grouped comparable FY series only; profitability basis=INSUFFICIENT_DATA
S0015,Slice,MULTI-ROUND (dated events; direction not inferred),DOWN,">=2 distinct FYs, same metric+unit+currency; n_obs=2",PROFITABLE,2026,EVIDENCE_PRESENT,products=1;tech=0,1,MEDIUM,8,directions from grouped comparable FY series only; profitability basis=PROFITABLE
