city,companies,sample_note,avg_completeness_pct,funding_total_inr_mn,acquired_companies,companies_with_hiring_evidence,companies_with_conflicts,conflict_pct,notes
Bengaluru,153,n=153 of 368 tracked; small-n cities are descriptive only,58.9,5274077.9,4,10,90,58.8,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Mumbai,63,n=63 of 368 tracked; small-n cities are descriptive only,62.3,1079364.8,2,12,37,58.7,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Gurugram,40,n=40 of 368 tracked; small-n cities are descriptive only,48.2,909913.6,1,3,12,30.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Hyderabad,12,n=12 of 368 tracked; small-n cities are descriptive only,37.3,101009.1,1,0,5,41.7,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Delhi NCR,10,n=10 of 368 tracked; small-n cities are descriptive only,37.7,271297.2,0,0,4,40.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Kolkata,10,n=10 of 368 tracked; small-n cities are descriptive only,35.4,129194.1,0,0,3,30.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Noida,9,n=9 of 368 tracked; small-n cities are descriptive only,55.8,372579.2,0,3,4,44.4,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Chennai,9,n=9 of 368 tracked; small-n cities are descriptive only,39.1,59560.3,0,0,3,33.3,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Ahmedabad,9,n=9 of 368 tracked; small-n cities are descriptive only,34.3,26124.5,1,0,3,33.3,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Pune,8,n=8 of 368 tracked; small-n cities are descriptive only,53.1,108846.7,0,0,6,75.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Jaipur,6,n=6 of 368 tracked; small-n cities are descriptive only,12.5,1285.5,0,0,0,0.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Delhi,4,n=4 of 368 tracked; small-n cities are descriptive only,44.3,24128.0,0,0,2,50.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Surat,4,n=4 of 368 tracked; small-n cities are descriptive only,42.2,14487.1,0,0,2,50.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
"Bengaluru, Karnataka",3,n=3 of 368 tracked; small-n cities are descriptive only,94.5,227750.6,0,0,3,100.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
New Delhi,3,n=3 of 368 tracked; small-n cities are descriptive only,37.5,49949.5,0,0,1,33.3,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
San Francisco,3,n=3 of 368 tracked; small-n cities are descriptive only,34.7,5971.3,0,0,2,66.7,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Thane,2,n=2 of 368 tracked; small-n cities are descriptive only,67.7,81473.6,0,0,1,50.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Unknown,2,n=2 of 368 tracked; small-n cities are descriptive only,8.3,0.0,0,0,0,0.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Kochi,2,n=2 of 368 tracked; small-n cities are descriptive only,31.2,0.0,0,0,0,0.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Chandigarh,2,n=2 of 368 tracked; small-n cities are descriptive only,34.3,0.0,0,0,0,0.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Indore,2,n=2 of 368 tracked; small-n cities are descriptive only,27.1,0.0,1,0,0,0.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
San Francisco / Pleasanton,1,n=1 of 368 tracked; small-n cities are descriptive only,66.7,1043.0,0,1,1,100.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Navi Mumbai,1,n=1 of 368 tracked; small-n cities are descriptive only,62.5,21425.0,0,0,1,100.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Chennai / Palo Alto,1,n=1 of 368 tracked; small-n cities are descriptive only,50.0,0.0,0,0,1,100.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Greater Noida,1,n=1 of 368 tracked; small-n cities are descriptive only,89.6,1904.0,0,0,1,100.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Mumbai MMR,1,n=1 of 368 tracked; small-n cities are descriptive only,22.9,418.5,0,0,0,0.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Rajkot,1,n=1 of 368 tracked; small-n cities are descriptive only,16.7,0.0,0,0,0,0.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Gurgaon,1,n=1 of 368 tracked; small-n cities are descriptive only,29.2,0.0,0,0,0,0.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Krishnagiri,1,n=1 of 368 tracked; small-n cities are descriptive only,16.7,0.0,1,0,0,0.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Erode / Perundurai,1,n=1 of 368 tracked; small-n cities are descriptive only,18.8,0.0,0,0,0,0.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
UNKNOWN,1,n=1 of 368 tracked; small-n cities are descriptive only,18.8,300.0,0,0,0,0.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
Pleasanton,1,n=1 of 368 tracked; small-n cities are descriptive only,70.8,1414.2,0,0,0,0.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
"Manno, Switzerland",1,n=1 of 368 tracked; small-n cities are descriptive only,16.7,0.0,0,0,0,0.0,"all figures derived from tracked universe only; funding = sum of FUNDING.amount_inr_mn (equity rounds, INR Mn)"
