company_name,canonical_key,all_names,city,state,sector_guess,stage_guess,funding_musd_hint,valuation_musd_hint,founders_hint,status_hint,why_notable,freq,discovery_urls,sources_files,priority_score,startup_id
Juspay,juspay,Juspay,Bengaluru,Karnataka,fintech infra | fintech infra/payments | fintech payments,Unicorn,170.0,1200.0,"Ramanathan RV, Vimal Kumar",ACTIVE UNICORN — entered unicorn club Jan 2026; $1T+ annual payment volume | Private | active,First unicorn of 2026; $1T+ annual payment volume,3,https://eqmint.com/indian-unicorns-2026-list/;https://www.business-standard.com/content/press-releases-ani/analytics-insight-releases-india-fintech-funding-report-for-h1-2026-companies-raise-2-2-billion-126081300724_1.html;https://www.ceovine.com/indian-unicorns-2026-every-startup-that-entered-the-billion-dollar-club-this-year,d1_hubs_unicorns.json;d2_sectors.json;d3_events_recency.json,83.0,S0001
KreditBee,kreditbee,KreditBee,Bengaluru,Karnataka,fintech lending,Unicorn,280.0,1500.0,Madhusudan Ekambaram et al,ACTIVE UNICORN — Series E Apr 2026 at ~$1.5B | Private | active,"2026 unicorn; 230M downloads, $1.5B AUM",3,https://eqmint.com/indian-unicorns-2026-list/;https://www.fortuneindia.com/business-news/indias-fintech-funding-rebounds-to-2-billion-in-h1-2026-driven-by-late-stage-deals-tracxn/148628;https://yourstory.com/2026/04/funding-kreditbee-280-million-15-billion-valuation,d1_hubs_unicorns.json;d2_sectors.json;d3_events_recency.json,83.0,S0002
PhonePe,phonepe,PhonePe,Bengaluru,Karnataka,fintech payments | fintech upi | fintech/upi payments,late,2900.0,12000.0,"Sameer Nigam, Rahul Chari (known)",PRE-IPO — SEBI approved; Rs 15000cr+ est 2026; ~50% UPI share; domicile back in India | Private | active,Top funded fintech,3,https://startupfeed.in/indian-startup-ipo-tracker-2026-drhp-sebi-pipeline/;https://tracxn.com/d/explore/fintech-startups-in-india/__7DUvpjRYg2icfFp-L5Leb_WDJgbf2y7jQQQQAhbZAjw;https://www.businessoutreach.in/most-valuable-startups-in-india/,d1_hubs_unicorns.json;d2_sectors.json;d3_events_recency.json,83.0,S0003
Razorpay,razorpay,Razorpay,Bengaluru,Karnataka,fintech infra | fintech payments | fintech/saas payments,Unicorn,820.0,7500.0,"Harshil Mathur, Shashank Kumar",PRE-IPO — domicile shift underway; 2026 listing possible | Private | active,API-first payments stack,3,https://startupfeed.in/indian-startup-ipo-tracker-2026-drhp-sebi-pipeline/;https://tracxn.com/d/explore/saas-startups-in-india/__tiPN56JiWzxgJ8waREJOEFNqn9n0tsWv5RLE38yWlW0/companies;https://www.businessoutreach.in/most-valuable-startups-in-india/,d1_hubs_unicorns.json;d2_sectors.json;d3_events_recency.json,83.0,S0004
Zepto,zepto,Zepto,Bengaluru,Karnataka,quick commerce,pre-IPO,450.0,7000.0,Aadit Palicha,PRE-IPO — 200 laid off Nov 2025 (automation); $450M round Oct 2025 at ~$7B; confidential DRHP filed; IPO expected 2026; Zepto Cafe paused (400 affected) | Priva,EVENT: confidential DRHP 2025-26 + $450M round + IPO expected 2026; 200 layoffs Nov 2025,3,https://inc42.com/features/indian-startup-layoff-tracker-2025/;https://tracxn.com/d/companies/zepto/__vOTzafGt-8S4kwYniiZ_yRogd6c_Jsw_vRD0gckHtfE;https://www.cnbctv18.com/business/startup/india-tech-ecosystem-secures-10-5-billion-in-2025-climbs-to-global-no-3-ws-l-19795755.htm,d1_hubs_unicorns.json;d2_sectors.json;d3_events_recency.json,83.0,S0005
Neysa,neysa,Neysa,Mumbai,Maharashtra,ai cloud infrastructure | ai infrastructure,Unicorn,600.0,1400.0,"Sharad Sanghi, Anindya Das",ACTIVE UNICORN — $600M Series B Feb 16 2026 led Blackstone at $1.4B; 20k GPU plan | Private,2026 unicorn; unicorn in <3 yrs,2,https://tracxn.com/d/unicorns/unicorns-in-india/__ujYf3QI9FSnpS3x-zJCSwnay2nENQhm1kAN-U8-6Kfg;https://www.ceovine.com/indian-unicorns-2026-every-startup-that-entered-the-billion-dollar-club-this-year,d1_hubs_unicorns.json;d3_events_recency.json,82.0,S0006
Amagi,amagi,Amagi,Bengaluru,Karnataka,media-tech/saas | saas media,Unicorn,160.0,1400.0,,LISTED Q1 2026 — oversubscribed 30.2x; listed 12.2% below issue (Rs 317 vs 361) | Private,Cloud broadcast unicorn,2,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html;https://startupfeed.in/indian-startup-ipo-tracker-2026-drhp-sebi-pipeline/,d1_hubs_unicorns.json;d3_events_recency.json,80.0,S0007
CRED,cred,CRED,Bengaluru,Karnataka,fintech | fintech/credit,late,900.0,3500.0,Kunal Shah (known),Private | active,Largest fintech deal H1 2026,2,https://bhavyasharmaandassociates.com/reports/top-100-startups-2026.html;https://www.fortuneindia.com/business-news/indias-fintech-funding-rebounds-to-2-billion-in-h1-2026-driven-by-late-stage-deals-tracxn/148628,d1_hubs_unicorns.json;d2_sectors.json,80.0,S0008
Darwinbox,darwinbox,Darwinbox,Bengaluru,Karnataka,hr-tech saas | hrtech saas,Unicorn,296.0,1000.0,"Jayant Paleti, Chaitanya Peddi, Rohit Chennamaneni",Private | active,Hyderabad's first true unicorn,2,https://timesofindia.indiatimes.com/city/hyderabad/hyds-skyroot-aerospace-becomes-indias-first-spacetech-unicorn/articleshow/130920667.cms;https://www.tice.news/tice-trending/indias-startup-funding-surges-38-healthtech-ai-and-ipo-momentum-lead-the-charge-9665928,d1_hubs_unicorns.json;d2_sectors.json,80.0,S0009
Emergent,emergent,Emergent,Bengaluru,Karnataka,ai | ai vibe-coding,Unicorn,130.0,1500.0,"Mukund Jha, Madhav Jha",ACTIVE UNICORN — entered club Jul 15 2026 per Tracxn | Private,Newest 2026 AI unicorn; 12M apps built,2,https://tracxn.com/d/unicorns/unicorns-in-india/__ujYf3QI9FSnpS3x-zJCSwnay2nENQhm1kAN-U8-6Kfg;https://www.fortuneindia.com/startups-news/emergent-becomes-the-latest-unicorn-in-indias-ai-space-with-series-c-funding/148456,d1_hubs_unicorns.json;d3_events_recency.json,80.0,S0010
