category,entity,value,population_size,comparison_basis,status,notes
company_tier,S0001,95.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=95.8, sq=100.0"
company_tier,S0002,97.9,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=97.9, sq=100.0"
company_tier,S0003,91.7,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=91.7, sq=100.0"
company_tier,S0004,64.6,368,tier_completeness_score,measured,"Tier=Deep, completeness=64.6, sq=100.0"
company_tier,S0005,95.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=95.8, sq=100.0"
company_tier,S0006,83.3,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=83.3, sq=100.0"
company_tier,S0007,64.6,368,tier_completeness_score,measured,"Tier=Deep, completeness=64.6, sq=100.0"
company_tier,S0008,64.6,368,tier_completeness_score,measured,"Tier=Deep, completeness=64.6, sq=80.0"
company_tier,S0009,60.4,368,tier_completeness_score,measured,"Tier=Deep, completeness=60.4, sq=100.0"
company_tier,S0010,58.3,368,tier_completeness_score,measured,"Tier=Enriched, completeness=58.3, sq=100.0"
company_tier,S0011,87.5,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=87.5, sq=100.0"
company_tier,S0012,72.9,368,tier_completeness_score,measured,"Tier=Deep, completeness=72.9, sq=100.0"
company_tier,S0013,91.7,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=91.7, sq=100.0"
company_tier,S0014,56.2,368,tier_completeness_score,measured,"Tier=Enriched, completeness=56.2, sq=100.0"
company_tier,S0015,68.8,368,tier_completeness_score,measured,"Tier=Deep, completeness=68.8, sq=90.0"
company_tier,S0016,91.7,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=91.7, sq=100.0"
company_tier,S0017,93.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=93.8, sq=100.0"
company_tier,S0018,89.6,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=89.6, sq=100.0"
company_tier,S0019,89.6,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=89.6, sq=100.0"
company_tier,S0020,66.7,368,tier_completeness_score,measured,"Tier=Deep, completeness=66.7, sq=100.0"
company_tier,S0021,89.6,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=89.6, sq=100.0"
company_tier,S0022,72.9,368,tier_completeness_score,measured,"Tier=Deep, completeness=72.9, sq=100.0"
company_tier,S0023,75.0,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=75.0, sq=100.0"
company_tier,S0024,66.7,368,tier_completeness_score,measured,"Tier=Deep, completeness=66.7, sq=100.0"
company_tier,S0025,75.0,368,tier_completeness_score,measured,"Tier=Intelligence-grade, completeness=75.0, sq=100.0"
company_tier,S0026,66.7,368,tier_completeness_score,measured,"Tier=Deep, completeness=66.7, sq=100.0"
company_tier,S0027,50.0,368,tier_completeness_score,measured,"Tier=Enriched, completeness=50.0, sq=100.0"
company_tier,S0028,58.3,368,tier_completeness_score,measured,"Tier=Enriched, completeness=58.3, sq=100.0"
company_tier,S0029,93.8,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=93.8, sq=100.0"
company_tier,S0030,72.9,368,tier_completeness_score,measured,"Tier=Deep, completeness=72.9, sq=100.0"
company_tier,S0031,66.7,368,tier_completeness_score,measured,"Tier=Deep, completeness=66.7, sq=100.0"
company_tier,S0032,97.9,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=97.9, sq=100.0"
company_tier,S0033,72.9,368,tier_completeness_score,measured,"Tier=Deep, completeness=72.9, sq=100.0"
company_tier,S0034,91.7,368,tier_completeness_score,measured,"Tier=Fully researched, completeness=91.7, sq=100.0"
