tech_id,startup_id,entity,category,name,description,url,as_of,source_id,confidence,notes
TEC0001,S0006,Neysa,ai,ai_notes,"Flagship AI Acceleration Cloud 'Velocis': AI infra, GenAI/use-case optimization, AI/ML security; partner-first ecosystem.",https://neysa.ai/press-release/blackstone-leads-funding-of-over-1-billion-dollar-to-neysa/,,SRC00114,MEDIUM,
TEC0002,S0012,Gupshup,ai,ai_notes,"Auto Bot Builder (Mar 2023, LLM chatbot creation); Llama 2 integration (Jul 2023); AI agents, campaign copilot, agent assist; 120B+ messages/year",https://en.wikipedia.org/wiki/Gupshup,,SRC00237,MEDIUM,
TEC0003,S0013,Krutrim,ai,ai_notes,"Krutrim-1 (7B params, Jan 2024); Krutrim-2 with 128k context; Kruti assistant; BharatBench eval; open-sourced models (Feb 2025); 13 patents (Tracxn); chip program paused late 2025",https://techcrunch.com/2025/02/04/softbank-backed-billionaire-to-invest-230m-in-indian-ai-startup-krutrim,,SRC00240,MEDIUM,
TEC0004,S0014,Sarvam AI,ai,ai_notes,"OpenHathi Hindi LLM (Dec 2023); 30B/105B open-source models (2026); Sarvam Vision doc-AI; voice-first Indic models; 38k-GPU national compute usage (ET slideshow, unverified)",https://techcrunch.com/2026/06/15/sarvam-becomes-indias-newest-ai-unicorn-with-234-million-funding-round-led-by-hcltech,,SRC00263,MEDIUM,
TEC0005,S0016,upGrad,ai,ai_notes,AI-led learning stack; Rs100 cr AI incubator (Feb 2025); AI/tech portfolio key growth engine.,https://www.forbesindia.com/article/take-one-big-story-of-the-day/upgrads-ipo-is-on-the-horizon-can-it-unlock-its-full-potential/95634/1,,SRC00290,MEDIUM,
TEC0006,S0017,BrowserStack,ai,ai_notes,"Portfolio expanded 5 to 21 products (functional, accessibility, visual, test mgmt, debugging); AI-driven testing expansion per CEO.",https://economictimes.indiatimes.com/tech/technology/browserstack-to-buy-back-125-million-shares-from-employees-early-investors/articleshow/126470170.cms,,SRC00334,MEDIUM,
TEC0007,S0018,Dhan,ai,ai_notes,Fuzz (askfuzz.ai) AI model for investors; AI-led trading expansion planned post-Series B.,https://inc42.com/buzz/dhan-becomes-unicorn-with-120-mn-funding-round/,,SRC00352,MEDIUM,
TEC0008,S0023,ACKO,stack,stack,Digital-first insurance platform; AI-led restructuring reported Apr 2026 (snippet only),,,,LOW,
TEC0009,S0041,Dream11 (Dream Sports),stack,stack,Fantasy sports platform + FanCode streaming/commerce + Dream Game Studios publishing,,,,LOW,
TEC0010,S0042,InMobi,stack,stack,"GenAI-powered adtech; Glance AI shopping agent (370M+ users claimed); 2B+ users reach, 30k+ brands",http://inmobi.com/,,SRC00772,MEDIUM,
TEC0011,S0043,Nykaa,stack,stack,E-commerce platform + apps + stores; Investor Day 2026 cites AI-driven growth (Quartr snippet; unverified),,,,LOW,
TEC0012,S0044,Rebel Foods,ai,ai_notes,"Using AI for demand forecasting, sourcing, kitchen productivity (per CFO interview Dec 2024)",https://www.straitstimes.com/business/companies-markets/temasek-leads-282m-fundraising-round-for-india-start-up-rebel-foods-ahead-of-planned-ipo,,SRC00786,MEDIUM,
TEC0013,S0046,Fractal Analytics,ai,ai_notes,Enterprise AI services + AI products on Cogentiq; Fractal Alpha AI businesses; Qure.ai/Cuddle.ai incubated,http://en.wikipedia.org/wiki/Fractal_Analytics,,SRC00825,MEDIUM,
TEC0014,S0058,Pixxel,ai,ai_notes,Aurora EO studio: no-code satellite-data analysis with AI tools and customisable workflows,https://www.pixxel.space/aurora,,SRC01091,MEDIUM,
TEC0015,S0058,Pixxel,stack,stack,"Hyperspectral imaging satellites (Fireflies, 135+ bands, ~5m); Aurora analytics platform; Dawn Aerospace propulsion (2022)",https://www.pixxel.space/aurora,,SRC01091,MEDIUM,
TEC0016,S0060,Miko Technologies,ai,ai_notes,"AI-native robotics: generative content, sensors, long-term memory; emotionally intelligent kid-safe interactions",https://m.economictimes.com/tech/funding/robotics-startup-miko-raises-10-5-million-from-iheartmedia-to-integrate-us-firms-audio-content-in-devices/articleshow/1,,SRC01103,MEDIUM,
TEC0017,S0061,Nua,ai,ai_notes,"Nua Period Tracker app + SecretKeeper chat feature (per Afterglow; company-claimed, low corroboration)",https://afterglow.news/stories/nua-50m-series-c-womens-wellness,,SRC01127,LOW,
TEC0018,S0062,Truemeds,ai,ai_notes,Proprietary recommendation algorithm for generic substitution (company-claimed),https://www.vccircle.com/accelpeak-xv-lead-truemeds-85-mn-series-c-round,,SRC01147,MEDIUM,
TEC0019,S0063,Weaver Services,ai,ai_notes,AI-driven underwriting with alternative data for informal-segment credit assessment (company claim),https://economictimes.indiatimes.com/tech/funding/housing-finance-platform-weaver-services-to-raise-rs-1482-crore-from-lightspeed-premji-invest/articleshow/1233,,SRC01163,MEDIUM,
TEC0020,S0067,Games24x7,ai,ai_notes,Science-of-gaming / behavioral-economics-driven design (company narrative); Games24x7 Ventures corporate arm (2022),https://www.games24x7.com/who-we-are,,SRC01236,LOW,
TEC0021,S0072,Pine Labs,stack,stack,"Cloud POS, Plural online gateway, Setu BBPS infra",,,,LOW,
TEC0022,S0078,Square Yards,stack,stack,Data-intelligence valuation/title-search platform; PropVR AI 3D/AR property experiences,https://economictimes.indiatimes.com/industry/services/property-/-cstruction/real-estate-platform-square-yards-achieves-unicorn-status-after-securing-900-cr-in-,,SRC01468,MEDIUM,
TEC0023,S0083,boAt,stack,stack,"boAt Labs R&D (100+ engineers), Crest OS wearables, Califonix Tech JV with Dixon (30M units/yr)",https://ipocentral.in/boat-ipo-udrhp-full-breakdown/,,SRC01513,MEDIUM,
TEC0024,S0084,MobiKwik,stack,stack,Wallet/UPI infra; Lens money-management; FD-backed RuPay First Card; data/ML R&D (IPO object),,,,LOW,
TEC0025,S0093,EatClub (BOX8),stack,stack,proprietary full-stack kitchen ops + delivery tech (company-claimed),,,,LOW,
TEC0026,S0095,Innovist,stack,stack,in-house R&D + manufacturing (Onesto Labs); EU-grade safety standards claimed,https://onestolabs.com/,,SRC01726,MEDIUM,
TEC0027,S0112,Moglix,ai,ai_notes,No verified AI stack claims; analytics/AI roles exist (Director-Analytics & AI per Tracxn) but no product-level AI evidence gathered,,,,LOW,
TEC0028,S0187,Stimuler AI,ai,ai_notes,voice-first AI tutor; phone-call simulations for ESL learners,https://yourstory.com/2025/07/startup-helping-esl-learners-find-voice-ai-iit-bhu,,SRC02745,MEDIUM,
