startup_id,company,watch_reason,watch_category,current_state,last_checked,next_check,important_metrics,important_events,priority,notes
S0076,Third Wave Coffee,High conflict or significant maturity; monitor for updates.,conflict_monitor,tracked,2026-09-16,quarterly or upon significant update,"completeness, conflicts, funding, regulatory","regulatory, funding, leadership",P4-WATCH,WATCHLIST: evidence-backed selection only; no arbitrary best-company selection; monitored for updates.
S0197,Kiwi (Gokiwi Tech),High conflict or significant maturity; monitor for updates.,conflict_monitor,tracked,2026-09-16,quarterly or upon significant update,"completeness, conflicts, funding, regulatory","regulatory, funding, leadership",P4-WATCH,WATCHLIST: evidence-backed selection only; no arbitrary best-company selection; monitored for updates.
S0017,BrowserStack,High conflict or significant maturity; monitor for updates.,conflict_monitor,tracked,2026-09-16,quarterly or upon significant update,"completeness, conflicts, funding, regulatory","regulatory, funding, leadership",P4-WATCH,WATCHLIST: evidence-backed selection only; no arbitrary best-company selection; monitored for updates.
S0055,Euler Motors,High conflict or significant maturity; monitor for updates.,conflict_monitor,tracked,2026-09-16,quarterly or upon significant update,"completeness, conflicts, funding, regulatory","regulatory, funding, leadership",P4-WATCH,WATCHLIST: evidence-backed selection only; no arbitrary best-company selection; monitored for updates.
S0036,Flipkart,High conflict or significant maturity; monitor for updates.,conflict_monitor,tracked,2026-09-16,quarterly or upon significant update,"completeness, conflicts, funding, regulatory","regulatory, funding, leadership",P4-WATCH,WATCHLIST: evidence-backed selection only; no arbitrary best-company selection; monitored for updates.
S0038,Unacademy,High conflict or significant maturity; monitor for updates.,conflict_monitor,tracked,2026-09-16,quarterly or upon significant update,"completeness, conflicts, funding, regulatory","regulatory, funding, leadership",P4-WATCH,WATCHLIST: evidence-backed selection only; no arbitrary best-company selection; monitored for updates.
S0070,Navi,High conflict or significant maturity; monitor for updates.,conflict_monitor,tracked,2026-09-16,quarterly or upon significant update,"completeness, conflicts, funding, regulatory","regulatory, funding, leadership",P4-WATCH,WATCHLIST: evidence-backed selection only; no arbitrary best-company selection; monitored for updates.
S0004,Razorpay,High conflict or significant maturity; monitor for updates.,conflict_monitor,tracked,2026-09-16,quarterly or upon significant update,"completeness, conflicts, funding, regulatory","regulatory, funding, leadership",P4-WATCH,WATCHLIST: evidence-backed selection only; no arbitrary best-company selection; monitored for updates.
S0013,Krutrim,High conflict or significant maturity; monitor for updates.,conflict_monitor,tracked,2026-09-16,quarterly or upon significant update,"completeness, conflicts, funding, regulatory","regulatory, funding, leadership",P4-WATCH,WATCHLIST: evidence-backed selection only; no arbitrary best-company selection; monitored for updates.
S0033,Netradyne,High conflict or significant maturity; monitor for updates.,conflict_monitor,tracked,2026-09-16,quarterly or upon significant update,"completeness, conflicts, funding, regulatory","regulatory, funding, leadership",P4-WATCH,WATCHLIST: evidence-backed selection only; no arbitrary best-company selection; monitored for updates.
