startup_id,company_name,primary_sector,company_stage,city,state,founding_year,age_years,completeness_pct,tier,source_quality_pct,freshness_pct,conflict_level,notes
S0001,Juspay,fintech payments infrastructure,unicorn (Series D),Bengaluru,Karnataka,2012,14,95.8,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0002,KreditBee,fintech lending,"unicorn (Series E, Apr 2026)",Bengaluru,Karnataka,,,97.9,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0003,PhonePe,fintech payments,"late / pre-IPO (confidential DRHP Sep 2025, UDRHP Jan 2026)",Bengaluru,Karnataka,,,91.7,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0004,Razorpay,fintech infra,"unicorn / pre-IPO (confidential DRHP Jun 12, 2026)",Bengaluru,Karnataka,,,64.6,Deep,100.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0005,Zepto,quick commerce,"unicorn / pre-IPO (confidential DRHP Dec 27, 2025; SEBI observations May 2026; UDRHP Jun 2026)",Mumbai,Maharashtra,,,95.8,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0006,Neysa,AI cloud infrastructure,Unicorn,Mumbai,Maharashtra,2023,3,83.3,Intelligence-grade,100.0,100,moderate,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0007,Amagi,media-tech SaaS,public,Bengaluru,Karnataka,2008,18,64.6,Deep,100.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0008,CRED,fintech,late (unicorn),Bengaluru,Karnataka,2018,8,64.6,Deep,80.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0009,Darwinbox,HR-tech SaaS,late (unicorn),Hyderabad,Telangana,2015,11,60.4,Deep,100.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0010,Emergent,AI dev-tools / vibe-coding,unicorn,Bengaluru,Karnataka,2024,2,58.3,Enriched,100.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0011,Groww,fintech wealthtech,Public (listed Nov 2025),Bengaluru,Karnataka,2016,10,87.5,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0012,Gupshup,AI / conversational SaaS,Late-stage unicorn (valuation disputed),Mumbai,,2004,22,72.9,Deep,100.0,100,moderate,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0013,Krutrim,AI / AI cloud infrastructure,Unicorn,Bengaluru,Karnataka,2023,3,91.7,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0014,Sarvam AI,AI / LLMs / sovereign models,Unicorn (June 2026),Bengaluru,,2023,3,56.2,Enriched,100.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0015,Slice,fintech / digital banking,"Unicorn (2021, $1B+); banking pivot with valuation reset 2026",Bengaluru,Karnataka,,,68.8,Deep,90.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0016,upGrad,Edtech / skilling,Unicorn,Mumbai,Maharashtra,2015,11,91.7,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0017,BrowserStack,SaaS / dev testing,Unicorn,Mumbai,,2011,15,93.8,Fully researched,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0018,Dhan,fintech/broking,unicorn,Mumbai,Maharashtra,2021,5,89.6,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0019,PharmEasy,healthtech/pharmacy,unicorn (stressed/down-round),Mumbai,Maharashtra,2015,11,89.6,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0020,Snapmint,fintech/bnpl,late-stage (Series B),Mumbai,Maharashtra,2017,9,66.7,Deep,100.0,100,none,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0021,Upstox,fintech/broking,unicorn,Mumbai,Maharashtra,2009,17,89.6,Intelligence-grade,100.0,100,high,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0022,Udaan,b2b commerce,"Series H, IPO-track",Bengaluru,Karnataka,2016,10,72.9,Deep,100.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0023,ACKO,insurtech,"Unicorn (late stage, IPO-bound)",Bengaluru,Karnataka,2016,10,75.0,Intelligence-grade,100.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0024,CoinSwitch Kuber,crypto/fintech,Unicorn (Series C),Bengaluru,,2017,9,66.7,Deep,100.0,100,low,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0025,Cult.fit (CureFit),fitness/healthtech,"Unicorn, DRHP filed Jul 2026",Bengaluru,Karnataka,2016,10,75.0,Intelligence-grade,100.0,100,moderate,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0026,Fireflies AI,AI / meeting transcription,Unicorn (tender valuation),San Francisco / Pleasanton,,,,66.7,Deep,100.0,100,moderate,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0027,Hasura,SaaS / API platform (GraphQL),Unicorn (Series C),Bengaluru,,,,50.0,Enriched,100.0,100,moderate,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
S0028,Icertis,SaaS / contract lifecycle management,"Unicorn, late-stage",Pune,,,,58.3,Enriched,100.0,100,moderate,DERIVED analytics view of STARTUPS+SCORES; no new claims; sample=tracked universe (368).
