hiring_id,startup_id,fact_type,value,as_of,source_id,confidence,notes
HIRE0001,S0005,layoffs,"~300 off-roll moved to third parties in Oct 2025; 500+ since Apr 2025; ~1,000 impacted YTD per Moneycontrol",2025-10-18,SRC00107,HIGH,
HIRE0002,S0005,headcount,"~5,700 employees",2025-10-22,SRC00112,MEDIUM,
HIRE0003,S0006,headcount,"110 employees across Mumbai, Bengaluru, Chennai",2026-02,SRC00115,MEDIUM,
HIRE0004,S0007,headcount,977,2026-03-31,SRC00143,,
HIRE0005,S0012,layoffs,~300 employees laid off post-2021 growth,2025-2026,SRC00218,MEDIUM,
HIRE0006,S0013,layoffs,Nearly half of workforce (headline-only; body not fetched),2026-07,SRC00260,LOW,
HIRE0007,S0015,headcount,3000+,2026,SRC00280,MEDIUM,
HIRE0008,S0017,headcount,1200+,2025-03,SRC00341,MEDIUM,
HIRE0009,S0022,layoffs,100-120 (Dec 2023 GTM rejig; historical),2025-12,SRC00455,MEDIUM,
HIRE0010,S0026,headcount,"~100-126 employees, remote across 20+ countries",,SRC00528,MEDIUM,
HIRE0011,S0030,headcount,700+,2025-12,SRC00583,MEDIUM,
HIRE0012,S0043,headcount,3735 (Tracxn official count; unaudited),2026,SRC00782,LOW,
HIRE0013,S0046,headcount,4600,2024-05,SRC00825,MEDIUM,
HIRE0014,S0058,headcount,300 employees; 52 active postings (+47.6% vs 2025),2026-03,SRC01084,MEDIUM,
HIRE0015,S0058,headcount,387 employees (+4.59% last 90d),2026,SRC01060,MEDIUM,
HIRE0016,S0060,headcount,300+ employees (company site),2025,SRC01116,MEDIUM,
HIRE0017,S0061,headcount,106,,SRC01125,LOW,
HIRE0018,S0062,headcount,2800,,SRC01138,MEDIUM,
HIRE0019,S0067,headcount,951,,SRC01249,MEDIUM,
HIRE0020,S0067,layoffs,~180 (May 2025),,SRC01232,HIGH,
HIRE0021,S0067,layoffs,"400-500 / ~70% (Sept 2025, RMG ban)",,SRC01231,HIGH,
HIRE0022,S0086,layoffs,"~120 (~7-8% of 1,700)",2024-03,SRC01571,HIGH,
HIRE0023,S0112,headcount,"~1,256 employees",,SRC01948,MEDIUM,
HIRE0024,S0112,expansion,Targeted 500 new recruits in 18 months (2024 drive),,,MEDIUM,
HIRE0025,S0179,headcount,"{'v': '112', 'as_of': '2026-06', 'source_url': 'https://www.linkedin.com/company/truvahomes', 'confidence': 0.85}",,,,
HIRE0026,S0180,headcount,"{'v': '96 (+37.1% YoY)', 'as_of': '2026', 'source_url': 'https://www.linkedin.com/company/tsavorite-scalable-intelligence', 'confidence': 0.85}",,,,
HIRE0027,S0181,headcount,"{'v': '56', 'as_of': '2026-04-01', 'source_url': 'https://tracxn.com/d/legal-entities/india/inox-clean-energy-limited/__MEmB824dB6IlON9T-eOSHg5q5WJ3S6vS8v7R9A8aF24', 'confidence': 0.8}",,,,
HIRE0028,S0182,headcount,"{'v': '1,000 (+48.7% YoY per LinkedIn 586)', 'as_of': '2026', 'source_url': 'https://www.linkedin.com/company/raphe-mphibr', 'confidence': 0.85}",,,,
HIRE0029,S0182,layoffs,"{'v': 'none reported', 'as_of': '2026', 'confidence': 0.9}",,,,
HIRE0030,S0183,headcount,"{'v': '1,111 (+28.1% YoY)', 'as_of': '2026-06', 'source_url': 'https://www.linkedin.com/company/batterysmart', 'confidence': 0.85}",,,,
HIRE0031,S0236,expansion,Hiring planned after seed round,2025-08-05,SRC03095,LOW,
HIRE0032,S0310,layoffs,200 employees cut,2025-04,SRC03619,HIGH,
HIRE0033,S0310,layoffs,120 more employees,2025-05,SRC03620,HIGH,
HIRE0034,S0347,layoffs,16% workforce reduction,2025-08-01,SRC03803,HIGH,
HIRE0035,S0351,layoffs,1000 (~25%) cut Mar 2025,2025-03-03,SRC03827,HIGH,
HIRE0036,S0351,layoffs,5% workforce cut Jan 2026,2026-01-30,SRC03828,HIGH,
HIRE0037,S0367,"{'v': 'layoffs', 'value': '170 employees (~30%)', 'as_of': 'Sep 2025', 'source_url': 'https://www.storyboard18.com/amp/gaming-news/breaking-zupee-lays-off-30-workforce-sets-up-%E2%82%B91-cr-medical-fund-for-ex-staff-80751.htm', 'confidence': 0.9}",,,,,
HIRE0038,S0367,"{'v': 'layoffs', 'value': '200 employees (~40%)', 'as_of': 'Jan 2026', 'source_url': 'https://yourstory.com/2026/01/zupee-cuts-about-200-jobs-in-second-layoff-after-money-gaming-ban', 'confidence': 0.9}",,,,,
