startup_id,company,watch_reason,watch_category,current_state,last_checked,next_check,important_metrics,important_events,priority,notes
S0001,Juspay,unresolved conflict: CF00002 Rs 514 Cr net revenue +48% (ET),conflict_monitor,active private,2026-09-16,quarterly or upon significant update,conflict fields; affected claims,,P4-WATCH,evidence-backed selection: unresolved CONFLICTS rows only; no arbitrary ranking
S0001,Juspay,unresolved conflict: CF00003 Rs 514.31 Cr (+61% YoY),conflict_monitor,active private,2026-09-16,quarterly or upon significant update,conflict fields; affected claims,,P4-WATCH,evidence-backed selection: unresolved CONFLICTS rows only; no arbitrary ranking
S0002,KreditBee,unresolved conflict: CF00006 First unicorn of FY27 (Entrackr/Hindu BusinessLine),conflict_monitor,"active, pre-IPO",2026-09-16,quarterly or upon significant update,conflict fields; affected claims,,P4-WATCH,evidence-backed selection: unresolved CONFLICTS rows only; no arbitrary ranking
S0002,KreditBee,unresolved conflict: CF00008 KrazyBee Services Private Limited (NBFC arm); tech arm Finnovation Tech Solutions Private Limited; p,conflict_monitor,"active, pre-IPO",2026-09-16,quarterly or upon significant update,conflict fields; affected claims,,P4-WATCH,evidence-backed selection: unresolved CONFLICTS rows only; no arbitrary ranking
S0002,KreditBee,unresolved conflict: CF00009 U65100KA2016PTC086990,conflict_monitor,"active, pre-IPO",2026-09-16,quarterly or upon significant update,conflict fields; affected claims,,P4-WATCH,evidence-backed selection: unresolved CONFLICTS rows only; no arbitrary ranking
S0002,KreditBee,"unresolved conflict: CF00010 $60M secondary (Entrackr, ETCFO)",conflict_monitor,"active, pre-IPO",2026-09-16,quarterly or upon significant update,conflict fields; affected claims,,P4-WATCH,evidence-backed selection: unresolved CONFLICTS rows only; no arbitrary ranking
S0002,KreditBee,unresolved conflict: CF00011 Rs 237 crore standalone PAT (MediaNama/MCA filing),conflict_monitor,"active, pre-IPO",2026-09-16,quarterly or upon significant update,conflict fields; affected claims,,P4-WATCH,evidence-backed selection: unresolved CONFLICTS rows only; no arbitrary ranking
S0002,KreditBee,unresolved conflict: CF00012 Founded 2016 (NBFC incorporated Mar 2016),conflict_monitor,"active, pre-IPO",2026-09-16,quarterly or upon significant update,conflict fields; affected claims,,P4-WATCH,evidence-backed selection: unresolved CONFLICTS rows only; no arbitrary ranking
S0003,PhonePe,"unresolved conflict: CF00013 IPO raise ~$1.35B / Rs 10,000-12,000cr (Sep 2025 reports)",conflict_monitor,"active, IPO-bound",2026-09-16,quarterly or upon significant update,conflict fields; affected claims,,P4-WATCH,evidence-backed selection: unresolved CONFLICTS rows only; no arbitrary ranking
S0003,PhonePe,"unresolved conflict: CF00014 FY25 operating revenue Rs 7,114.9cr (FE/Tofler)",conflict_monitor,"active, IPO-bound",2026-09-16,quarterly or upon significant update,conflict fields; affected claims,,P4-WATCH,evidence-backed selection: unresolved CONFLICTS rows only; no arbitrary ranking
