metric,startup_id,company,value,population_description,population_size,threshold_distance,interpretation,confidence,notes
funding_total_inr,S0005,Zepto,55660.5,all tracked companies with disclosed funding,254,38898.0,"Funding outlier > Q3+1.5*IQR (value=55660.5, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0006,Neysa,52200.0,all tracked companies with disclosed funding,254,35437.5,"Funding outlier > Q3+1.5*IQR (value=52200.0, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0036,Flipkart,1376000.0,all tracked companies with disclosed funding,254,1359237.5,"Funding outlier > Q3+1.5*IQR (value=1376000.0, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0040,Zetwerk,80997.0,all tracked companies with disclosed funding,254,64234.5,"Funding outlier > Q3+1.5*IQR (value=80997.0, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0041,Dream11 (Dream Sports),62580.0,all tracked companies with disclosed funding,254,45817.5,"Funding outlier > Q3+1.5*IQR (value=62580.0, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0043,Nykaa,53520.0,all tracked companies with disclosed funding,254,36757.5,"Funding outlier > Q3+1.5*IQR (value=53520.0, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0049,Meesho,51934.2,all tracked companies with disclosed funding,254,35171.7,"Funding outlier > Q3+1.5*IQR (value=51934.2, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0068,Infra.Market,62689.55,all tracked companies with disclosed funding,254,45927.05,"Funding outlier > Q3+1.5*IQR (value=62689.55, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0072,Pine Labs,334230.0,all tracked companies with disclosed funding,254,317467.5,"Funding outlier > Q3+1.5*IQR (value=334230.0, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0078,Square Yards,78300.0,all tracked companies with disclosed funding,254,61537.5,"Funding outlier > Q3+1.5*IQR (value=78300.0, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0083,boAt,128550.0,all tracked companies with disclosed funding,254,111787.5,"Funding outlier > Q3+1.5*IQR (value=128550.0, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0084,MobiKwik,47876.4,all tracked companies with disclosed funding,254,31113.9,"Funding outlier > Q3+1.5*IQR (value=47876.4, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0085,OfBusiness,69600.0,all tracked companies with disclosed funding,254,52837.5,"Funding outlier > Q3+1.5*IQR (value=69600.0, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
funding_total_inr,S0094,Eruditus,48425.0,all tracked companies with disclosed funding,254,31662.5,"Funding outlier > Q3+1.5*IQR (value=48425.0, median=4350.0)",MEDIUM,OUTLIER derived from FUNDING.amount_inr_mn; tracked universe only.
