product_id,startup_id,name,category,description,b2b_b2c,pricing_model,launch_date,status,source_id,confidence,notes
PRD0001,S0001,Payments orchestration platform,payments infrastructure,"Full-stack payments: checkout, authentication, tokenisation, payouts, analytics; powers ~20 third-party UPI apps incl Google Pay; bank processing (HSBC)",,,,,SRC00003,HIGH,
PRD0002,S0001,Payments Orchestration Platform,payments infrastructure,"Full-stack payments: checkout, authentication, tokenisation, payouts, analytics; modular interoperable platform",,per-transaction commission,2012,active,SRC00012,HIGH,
PRD0003,S0001,Hyperswitch,open-source payment orchestrator,World's first open-source modular payments platform; connects to multiple payment processors with single API; supports 300+ gateways,,open-source (free),2023-12,active; expanding to US/Europe/UK,SRC00021,HIGH,
PRD0004,S0001,HyperUPI,UPI plug-in SDK,NPCI's UPI plug-in SDK enabling in-app UPI payments in merchant apps; launched with Yes Bank; Gullak first merchant,,not disclosed,2023-09,active,SRC00022,HIGH,
PRD0005,S0001,Juspay Portal (Dashboard),merchant dashboard/monitoring,"Internal AI-powered dashboard for transaction monitoring, analytics, routing analytics, alerts, order tracking",,included with service,unknown,active,SRC00023,MEDIUM,
PRD0006,S0001,Click to Pay (Mastercard Engage),payment authentication,Certified third-party partner for Mastercard Click to Pay; one-click checkout; expanding across Asia after Brazil rollout,,not disclosed,2026-06-01,active,SRC00012,HIGH,
PRD0007,S0001,Payroll Software,payroll,Listed on IndiaMART as a product offering from Juspay Technologies in Bengaluru,,not disclosed,unknown,unclear,SRC00024,LOW,
PRD0008,S0002,KreditBee app lending,unsecured personal loans,"Personal/small-business loans via app; expanded to LAP, SME, two-wheeler loans",,,,active,,,
PRD0009,S0002,Flexi Personal Loan,personal loan,"Unsecured personal loan from Rs 6,000 to Rs 10 Lakhs; 6-60 months tenure; 12-27.5% p.a. interest",,interest_rate_12-27.5_pa_plus_processing_fee_upto_4.7pct_gst,2018-05,active,SRC00051,HIGH,
PRD0010,S0002,Personal Loan for Salaried,personal loan,"Personal loan for salaried professionals with minimum Rs 10,000 monthly income; Rs 6,000 to Rs 10 La",,interest_rate_12-27.5_pa,2018-05,active,SRC00052,HIGH,
PRD0011,S0002,Personal Loan for Self-Employed,personal loan,"Personal loan for self-employed individuals; Rs 6,000 to Rs 10 Lakhs; 6-60 months tenure",,interest_rate_12-27.5_pa,2018-05,active,SRC00052,HIGH,
PRD0012,S0002,Emergency Loan,personal loan,"Unsecured personal loan for emergencies; Rs 6,000 to Rs 10 Lakhs; 6-60 months; 12-27.5% p.a.",,interest_rate_12-27.5_pa,2018-05,active,SRC00053,HIGH,
PRD0013,S0002,Business Loan,business loan,"Business loans from Rs 6,000 to Rs 1 Crore; 6-48 months tenure",,interest_rate_12-28.5_pa,2022,active,SRC00054,HIGH,
PRD0014,S0002,Two-Wheeler Loan,vehicle loan,Two-wheeler loan up to Rs 5 Lakhs; 6-60 months tenure,,interest_rate_12-28.5_pa,2022,active,SRC00054,HIGH,
PRD0015,S0002,Loan Against Property,secured loan,LAP up to Rs 1 Crore; up to 20 years tenure; interest from 12%; available in major South India citie,,interest_rate_from_12_pa,2023,active,SRC00054,HIGH,
PRD0016,S0002,Loan Against Mutual Funds,secured loan,Loan against mutual fund holdings,,interest_rate_12-28.5_pa,2024,active,SRC00055,MEDIUM,
PRD0017,S0002,UPI Payments,financial_services,UPI-based offerings; NPCI approved; integrated in KreditBee app,,transaction_based,2024,active,SRC00056,MEDIUM,
PRD0018,S0002,Credit Report Solutions,financial_services,Value-added credit score check and insights service,,free_premium,2023,active,SRC00054,MEDIUM,
PRD0019,S0003,PhonePe payments,UPI/merchant payments,Consumer + merchant payments; India's most-used UPI app per Reuters,,,,active,,,
PRD0020,S0003,PhonePe diversified verticals,financial services distribution,"Lending + insurance (Rs 557.6cr FY25), stocks/MF, Pincode, Indus Appstore",,,,active,,,
PRD0021,S0003,PhonePe payments (UPI),UPI/merchant payments,"Consumer + merchant UPI payments; India's most-used UPI app; 400M daily transactions, 718M lifetime users as of Jul 2026",,free for consumers; merchant discount rate for merchants,2016,active,SRC00077,HIGH,
PRD0022,S0003,Payment Gateway,online merchant solutions,Online payment gateway for businesses; listed under Online Merchant Solutions on official site,,transaction-based,,active,SRC00077,HIGH,
PRD0023,S0003,Payment Aggregator,online merchant solutions,"PA license for merchant payment aggregation; competes with Razorpay, Pine Labs",,transaction-based,,active,SRC00077,HIGH,
PRD0024,S0003,Merchant Lending,lending,Lending distribution to merchants; PhonePe Capital as lending entity,,interest-based,,active,SRC00077,HIGH,
PRD0025,S0003,Share.Market,wealth/stocks,A brand of PhonePe Wealth Broking and affiliates; wealth and investment platform for investors and traders,,brokerage-based,,active,SRC00077,HIGH,
PRD0026,S0003,Mutual Funds,wealth,"Mutual fund distribution; daily SIP base crossed 500,000 as of Aug 2026; FD distribution launched Aug 2026",,commission-based,,active,SRC00078,HIGH,
PRD0027,S0003,Indus Appstore,consumer tech,Native Android-based mobile app store for Indian consumers; provides developers level playing field,,free/app store commission,,active,SRC00077,HIGH,
PRD0028,S0003,UPI 123Pay,UPI payments,"UPI payments for feature phone users; launched Aug 31, 2026; targets 200M+ feature phone users",,free,2026-08-31,active,SRC00078,HIGH,
PRD0029,S0003,PulsePro,data intelligence,"Actionable data intelligence for Indian businesses; launched Jul 30, 2026; MoU with MeitY for PM GatiShakti Aug 2026",,subscription/SaaS,2026-07-30,active,SRC00078,HIGH,
PRD0030,S0003,PhonePe Ads,advertising,Advertising platform listed under business solutions,,advertising-based,,active,SRC00077,MEDIUM,
PRD0031,S0003,Fixed Deposit Distribution,wealth,"FD distribution in partnership with leading banks & NBFCs; launched Aug 6, 2026",,commission-based,2026-08-06,active,SRC00078,HIGH,
PRD0032,S0003,Insurance distribution,insurance,Insurance distribution vertical; Rs 557.6cr FY25 revenue from financial services distribution,,commission-based,,active,SRC00077,MEDIUM,
PRD0033,S0003,Gold/Silver,investments,Gold and silver investment products,,transaction-based,,active,SRC00077,MEDIUM,
PRD0034,S0004,Razorpay full-stack platform,payment gateway + banking stack,"Payments, RazorpayX banking/payroll/payouts, POS via Ezetap, international via Curlec",,,,active,,,
PRD0035,S0005,Zepto quick commerce,10-min grocery delivery,"~1,000+ dark stores; 1.6-1.7M orders/day Oct 2025",,,,active,,,
PRD0036,S0005,Zepto Cafe,10-min food/QSR,Scaled down mid-2025 (sourcing/staffing); 'four-digit crore' ARR run-rate per CEO; path to cafe profitability,,,,scaled-back,,,
PRD0037,S0005,Zepto Pharmacy,10-min medicine delivery,"Launched Aug 2025 in Mumbai, Bengaluru, Delhi NCR, Hyderabad",,per item,2025-08,active,SRC00108,HIGH,
PRD0038,S0005,Zepto Atom,data-insights subscription,Data-insights subscription platform for consumer brands,,subscription,2025-05,active,SRC00108,HIGH,
PRD0039,S0005,Relish,private label (meat/seafood),Private label launched Oct 2023,,retail,2023-10,active,SRC00108,HIGH,
PRD0040,S0005,Daily Good,private label (staples),"Private label for staples like dried fruits, oils, dals",,retail,2024-01,active,SRC00108,MEDIUM,
PRD0041,S0005,Super Saver,discount program,Additional discounts on groceries for large orders,,discount,2025-01,active,SRC00110,MEDIUM,
PRD0042,S0006,Neysa Velocis (AI Acceleration Cloud),AI cloud platform,,,,,GA,SRC00114,HIGH,
PRD0043,S0006,Velocis with GPT-OSS models,AI model catalog,Expansion of Velocis cloud platform catalog to include OpenAI's GPT-OSS and other open-weight models,,,2025-09-09,GA,SRC00127,HIGH,
PRD0044,S0006,Sovereign inference infrastructure (with Pipeshift),Inference platform,"Real-time inference for open-source AI models, fully deployed within India, single-tenant environments",,,2026-05-27,GA,SRC00131,HIGH,
PRD0045,S0007,Amagi cloud platform,SaaS platform,"Cloud broadcast, streaming unification, monetization/marketplace, cloud modernization; AI-enabled incl. NEWSPULSE",,,,active,,,
PRD0046,S0008,CRED app,fintech,Credit-card bill payments with rewards,,,,active,,,
PRD0047,S0008,Happay,fintech,Expense management + corporate cards (acquired Dec 2021),,,,active,,,
PRD0048,S0009,Darwinbox HCM platform,HCM SaaS,"Mobile-first AI-enabled HCM: hiring, onboarding, attendance, payroll, engagement, analytics",,,,active,,,
PRD0049,S0010,Emergent platform,AI dev platform,"Agentic AI: natural-language prompts → full-stack production web/mobile apps incl. hosting, testing, deployment, debugging; mobile app builder; planned agent builder",,,,active,,,
PRD0050,S0011,"Groww investment platform (stocks, mutual funds, ETFs, F&O, IPOs, digital gold, US stocks)",brokerage,,,,,,,,
PRD0051,S0011,"Margin Trading Facility (MTF), personal loans via NBFC subsidiary",lending,,,,,,,,
PRD0052,S0011,Groww Mutual Fund (Groww Asset Management),asset management,,,,,,,,
PRD0053,S0011,"Groww investment platform (stocks, mutual funds, ETFs, F&O, IPOs, digital gold, US stocks)",brokerage,"Direct-to-customer digital investment platform offering equities, derivatives, mutual funds, ETFs, IPOs, digital gold, and international stocks",,,,active,SRC00206,HIGH,
PRD0054,S0011,Margin Trading Facility (MTF) and Loans Against Securities (LAS),lending,Margin trading facility and loans against securities through NBFC subsidiaries Groww Creditserv Technology Pvt Ltd and Groww Invest Tech Pvt Ltd,,,,active,SRC00191,HIGH,
PRD0055,S0011,Groww Mutual Fund (Groww Asset Management Limited),asset management,"SEBI-registered AMC (SEBI Registration No. MF/068//11/03) with 39 schemes; AUM Rs 5,996.87 cr; includes index funds, liquid funds, sectoral funds",,,,active,SRC00207,HIGH,
PRD0056,S0011,Fisdom (wealth advisory),wealth management,Acquired in October 2025 for ~$150M; wealth advisory platform; expected profitable in FY28,,,,active (integrating),SRC00188,MEDIUM,
PRD0057,S0011,Groww Credit (personal loans),credit,Personal loans and Loans Against Securities through credit.groww.in,,,,active,SRC00208,HIGH,
PRD0058,S0011,State Street Global Advisors partnership,partnership,Strategic relationship with State Street Global Advisors for cross-border offerings; SSA acquired 22.943% of Groww AMC (19.01% CCPS + 3.93% equity),,,,active (pending regulatory approvals),SRC00199,HIGH,
PRD0059,S0011,Groww Lite,brokerage,Lighter version of Groww app for quick position viewing and squaring off,,,,active,SRC00209,MEDIUM,
PRD0060,S0012,"Conversational messaging platform (WhatsApp, RCS, SMS, Instagram, voice)",CPaaS,,,,,,,,
PRD0061,S0012,AI agents / Auto Bot Builder / campaign copilot / agent assist,AI,,,,,,,,
PRD0062,S0013,"Krutrim Cloud (GPU clusters, model repos, AI customer-care agents, mapping, language hub)",cloud,,,,,,,,
PRD0063,S0013,"Krutrim LLMs (Krutrim-1/2, Indic multilingual, open-sourced Feb 2025)",AI models,,,,,,,,
PRD0064,S0013,Kruti AI assistant,app,,,,,,,,
PRD0065,S0013,Krutrim Cloud,cloud,"Full-stack AI cloud platform; GPU clusters, model repos, AI customer-care agents, mapping, language hub; built entirely in-house",,,2025,active,SRC00241,HIGH,
PRD0066,S0013,Krutrim Maps,cloud,Mapping service within Krutrim Cloud,,,unknown,active,SRC00252,MEDIUM,
PRD0067,S0013,Krutrim LLM (Krutrim-1/2),AI models,"Krutrim-1 (7B params, Jan 2024); Krutrim-2 (12B params, 128k context, open-sourced Feb 2025); BharatBench eval framework",,,2024-01,paused,SRC00240,HIGH,
PRD0068,S0013,Krutrim 3,AI models,"Largest LLM, multibillion parameters; under development",,,unknown,development_paused,SRC00250,MEDIUM,
PRD0069,S0013,Kruti AI assistant,app,AI assistant app; voice-first interaction for Indian market,,,2025-06,pulled_from_stores,SRC00251,HIGH,
PRD0070,S0013,Krutrim semiconductor/chip program,hardware,Indigenous AI chip design; GPUs for AI applications by 2027 announced Aug 2024,,,2024-08,paused_late_2025,SRC00249,HIGH,
PRD0071,S0014,"Sarvam frontier Indic models (text, speech, vision, documents)",models,,,,,,,,
PRD0072,S0014,Sarvam Vision (document intelligence); agentic AI platform; TTS/STT/translation APIs,platform,,,,,,,,
PRD0073,S0015,Slice banking suite,savings/UPI/credit,"Savings account, UPI credit card, FDs, Slice Borrow, UPI-led branch",,,,live,SRC00283,,
PRD0074,S0016,Degree Programs (Bachelor/Master),Higher Education,"Online bachelor's and master's degrees in partnership with universities (IIIT-Bangalore, Liverpool John Moores, Deakin, Amity). Includes BBA, BCA, B.Tech, MBA programs.",,"Subscription/per-program fee (Rs 32,500-285,000 range)",,Active,SRC00312,MEDIUM,
PRD0075,S0016,upGrad Enterprise,B2B Corporate Training,"Corporate learning and workforce development arm. 3,000+ corporate partners. Offers customizable employee training, MIT Open Learning Universal AI program delivery.",,Enterprise contract,2021,Active,SRC00311,HIGH,
PRD0076,S0016,upGrad Campus,Higher Ed Infrastructure,Vertical offering technology and learning solutions for Higher Education Institutions. Rebranded from Impartus (acquired May 2021).,,B2B institutional,2021,Active,SRC00319,MEDIUM,
