txn_id,startup_id,direction,type,target_or_buyer,counterparty,date,value,disclosed,rationale,source_id,confidence,notes
TXN0001,S0004,made,acqui-hire / consumer UPI expansion,POP,POP (POPclub),2025-06-17,$30M (per Entrackr snippet),True,Rewards-first UPI app,SRC00098,MEDIUM,
TXN0002,S0011,made,product acquisition,Fisdom,Fisdom,2025,~$150 million,True,Entry into wealth advisory,SRC00188,MEDIUM,
TXN0003,S0012,made,product acquisition,Knowlarity Communications,Knowlarity Communications,2022-02-02,undisclosed,False,Add voice/cloud-telephony suite to messaging platform,SRC00221,HIGH,
TXN0004,S0012,made,product acquisition,DOTGO,DOTGO,2021-09,undisclosed,False,RCS business messaging capability,SRC00228,MEDIUM,
TXN0005,S0012,made,product acquisition,Active.ai,Active.ai,2022-04,undisclosed,False,Conversational AI for banking/fintech,SRC00229,MEDIUM,
TXN0006,S0016,made,all-stock acquisition,"Unacademy Group (incl. PrepLadder, Graphy, Airlearn)",Unacademy,2026-09-01,"~$206M (INR 1,955 cr) all-stock",True,Entry into test-prep/K-12; consolidation; Unacademy brand retained; Munjal stays CEO.,SRC00288,HIGH,
TXN0007,S0017,made,product acquisition,"Percy (visual testing, SF)",Percy,2020-07,undisclosed,,Visual testing capability for developers; add visual testing to BrowserStack platform,SRC00336,MEDIUM,
TXN0008,S0017,made,product acquisition,Requestly; Bird Eats Bug,Requestly,2025-2026,undisclosed,True,Open-source HTTP interception and API mocking tool; expand developer tools stack,SRC00338,MEDIUM,
TXN0009,S0018,received,product acquisition,Stratzy (algo-trading startup),Stratzy,April 2026,"$5-6 million (per sources, cash-and-stock)",False,Algo-trading expansion,SRC00356,,
TXN0010,S0018,received,vertical integration,GreenLife Insurance Broking,GreenLife Insurance Broking,May 2026,undisclosed,False,Entry into insurance distribution,SRC00361,,
TXN0011,S0019,made,vertical integration,Thyrocare (diagnostic lab chain),Thyrocare,2021,$600M+ (per TechCrunch),True,Diagnostics expansion,SRC00376,,
TXN0012,S0028,made,product acquisition,"Dioptra (YC 2022, NYC)",Dioptra,2025-11-19,undisclosed,False,"AI-first contracting: surgical redlining, automated playbooks, pre-signature agents",SRC00550,HIGH,
TXN0013,S0031,made,acqui-hire / product acquisition,"Jify (share swap, no fresh capital)",Jify,2024-09-12,~$4M (60.2 lakh Moneyview shares),True,"Earned-wage-access expansion; Jify shareholders got ~60.2 lakh Moneyview shares (~$4M); deal valued Moneyview ~Rs 10,000 cr ($1.2B) = unicorn",SRC00594,HIGH,
TXN0014,S0033,made,vertical integration,Moove Connected Mobility (Netherlands),Moove Connected Mobility,2026,undisclosed,False,European GTM/distribution + enterprise relationships (per CNBC TV18 analysis),SRC00610,MEDIUM,
TXN0015,S0042,made,acquisition program,12 acquisitions as acquirer (Tracxn count; details unverified),various,,undisclosed,,"InMobi has been an active acquirer of adtech/martech companies including MobileAction (2026), Appsumer (2021), and others",SRC00759,LOW,
TXN0016,S0043,made,product acquisition,Aminu Wellness Pvt Ltd (51% majority stake),Aminu Wellness Pvt Ltd,2026-08-04,up to Rs 32 crore,True,strengthen House of Nykaa premium skincare portfolio,SRC00781,HIGH,
TXN0017,S0044,made,product acquisition,Smoor (chocolates/desserts),Smoor,2022-04-07,undisclosed,True,Expand into premium desserts/chocolate retail,SRC00791,MEDIUM,
TXN0018,S0046,made,product acquisition,4i Inc (Chicago),4i Inc,2017-06,undisclosed,,US-based analytics and consulting expansion,SRC00822,MEDIUM,
TXN0019,S0046,made,product acquisition,Final Mile (behavioural architecture),Final Mile,2018-03,undisclosed,,Behavioural architecture firm; drive lasting behavioural changes for clients using AI,SRC00823,LOW,
TXN0020,S0059,made,product acquisition,"Autovert (Bengaluru, subsidiary)",Autovert,2022-12-13,undisclosed,,Bengaluru-based subsidiary acquisition,SRC01100,MEDIUM,
TXN0021,S0063,made,vertical integration,Capital India Home Loans Ltd (100%),Capital India Home Loans Ltd,2025-08-12,Rs 267 Cr,True,Anchor asset for affordable housing finance platform,SRC01170,HIGH,
TXN0022,S0063,made,vertical integration,Centrum Housing Finance Ltd (75%),Centrum Housing Finance Ltd,2026-03-18,~Rs 600 Cr total deal (Rs 430 Cr for 56.4% + Rs 170 Cr for 18.6%),True,Scale via consolidation; Centrum exit from HFC vertical,SRC01171,HIGH,"75% controlling stake; combined AUM >Rs 2,000 Cr, 100+ branches"
TXN0023,S0068,made,vertical integration,RDC Concrete,RDC Concrete,2021,Rs 730 crore (~$100M),True,RMC vertical integration,SRC01259,,
TXN0024,S0068,made,majority stake acquisition,Shalimar Paints (majority),Shalimar Paints,2021,,False,Paints brand portfolio,SRC01260,,
TXN0025,S0068,made,stake acquisition,Emcer Tiles (57% stake),Emcer Tiles,2022,,False,Tiles portfolio,SRC01258,,
TXN0026,S0068,made,majority stake acquisition; share swap,Metro Group (majority),Metro Group,2023,Rs 200 crore share swap,True,Ceramic tiles expansion,SRC01261,,
TXN0027,S0085,made,full ownership acquisition,Indian Designs (Bengaluru apparel exporter; remaining 30% stake acquired Dec 2025 for full ownership),Indian Design,2025,$80-100 million (reported),False,Apparel manufacturing presence ahead of IPO,SRC01536,MEDIUM,
TXN0028,S0086,made,acquisition,Lybrate (telemedicine platform),Lybrate,2022-06,$20-30M (reported),True,Enter primary healthcare,SRC01577,MEDIUM,
TXN0029,S0094,made,acquisition,iD Tech,iD Tech,2021-05-20,$200M,True,K-12 expansion,SRC01692,MEDIUM,
TXN0030,S0095,received,majority stake acquisition,Innovist,L'Oreal,2026-06-18,"majority stake; ~Rs 4,100cr valuation (press-reported, undisclosed officially)",False,"L'Oreal India expansion; founders stay as minority, operate with L'Oreal India; brands into Consumer Products Division",SRC01728,HIGH,
TXN0031,S0096,made,proposed acquisition; late-stage talks,"Prodigy Finance (late-stage talks, Mar 2025)",Prodigy Finance,2025-03-07,,False,M&A expansion (China/India); term of Apis funding,SRC01743,MEDIUM,
TXN0032,S0096,made,acquisition,Yocket + GeeBee,Yocket and GeeBee,,,False,student community + inventory,SRC01743,MEDIUM,
TXN0033,S0097,made,controlling stake acquisition,Bluetile + BestPlay 100%,Bluetile Games and BestPlay Systems,2026-03-18,$303M all-cash (USD 89M at close + 214M by Apr 2027),True,global gaming platform scale; 17 IPs + 22M MAU,SRC01761,HIGH,
TXN0034,S0097,made,IP acquisition,C.A.T.S. + King of Thieves IPs (ZeptoLab),ZeptoLab,2025-01-20,$7.7M (~Rs 66.6cr),True,direct cash flow into listed parent,SRC01762,HIGH,
TXN0035,S0112,made,acquisition,Vendaxo,Vendaxo,July 2021,,False,Used-machinery liquidation; access to high-value capital goods at economical prices,SRC01956,HIGH,
TXN0036,S0112,made,business acquisition,ADI Global Distribution (India distribution business),ADI Global Distribution,October 2022,,False,"Expand distribution network for OEM brands (video surveillance, access control, fire control); ~Rs 300 cr turnover business",SRC01957,HIGH,
TXN0037,S0112,made,acquisition,Khatema Fibres,Khatema Fibres,November 2024,Rs 80 crore (~$9.4-10.6M),True,Expand manufacturing footprint; sustainable packaging portfolio,SRC01958,HIGH,
TXN0038,S0112,made,acquisition,NuPhi (by Credlix arm),NuPhi,November 2021 (reported),,False,Trade-financing capability for Credlix arm,SRC01959,MEDIUM,
TXN0039,S0112,made,majority stake acquisition,"Vanik Finance (majority stake, by Credlix arm)",Vanik Finance,December 2025 (announced),Rs 80 crore investment stated,True,Widen MSME/exporter credit; Vanik operates under Credlix brand; Rs 80 cr expansion investment,SRC01960,MEDIUM,
TXN0040,S0228,made,,,,2022,,True,Multi-channel engagement platform acquisition,SRC03034,MEDIUM,
TXN0041,S0236,made,,,,2026-04,30% stake,True,Embed storytelling into AA game development pipeline,SRC03093,MEDIUM,
TXN0042,S0242,received,,Hubilo,,2025-09-16,,False,"Brandlive said Hubilo brings a 30-person R&D hub, virtual events scale and AI video innovations",SRC03168,HIGH,
TXN0043,S0297,received,strategic stake acquisition,Jubilant Ingrevia,Jubilant Ingrevia,2026-08-19,Rs 189.2 cr for 40% strategic stake (cash),True,Strategic foothold in electronics manufacturing and semiconductor services.,SRC03526,MEDIUM,
TXN0044,S0334,made,all-stock merger,Fincare Small Finance Bank,Fincare Small Finance Bank,2023-10-31,All-stock; Fincare shareholders to receive 579 AU shares,True,Consolidation of small-finance-bank licenses and operations.,SRC03758,,
TXN0045,S0340,received,,,,2025-07-18,All-stock deal ~$88.5M (Rs 1000 Cr),True,Strategic consolidation in B2B grocery commerce; Udaan IPO preparation,SRC03772,HIGH,
TXN0046,S0340,received,all-stock acquisition,Udaan,Udaan,2025-07-18,~$88.5 million enterprise value; stock deal,True,"B2B grocery-commerce consolidation, FMCG expertise, technology and supply-chain capability ahead of Udaan IPO.",SRC03772,,
TXN0047,S0348,received,,,,2025-11-13,{'v': 'share swap'},True,Agritech consolidation via share-swap deal,SRC03810,HIGH,
TXN0048,S0348,received,share-swap merger/acquisition,Unnati Agri,Unnati Agri,2025-11-13,Share swap; undisclosed,,Agritech consolidation and combination of sectoral peers.,SRC03810,,
TXN0049,S0352,received,,,,2026-09-01,{'v': 'undisclosed'},False,Technology licensing and team acqui-hire (six-person team),SRC03831,HIGH,
TXN0050,S0352,received,technology acquisition and team acqui-hire,Adobe acqui-hire,Adobe,2026-09-02,Undisclosed,,Technology licensing and acquisition of a six-person team for marketing intelligence/agentic AI capabilities.,SRC03836,,
TXN0051,S0353,made,,,,2025-01-23,{'v': ''},False,Boost defence and aerospace innovation,SRC03840,HIGH,
TXN0052,S0353,made,acquisition,Dexcel Electronics,Dexcel Electronics,2025-01-23,,,"Boost defence, aerospace and space innovation with indigenous capabilities.",SRC03842,,
