network_type,entity_a,entity_b,co_occurrences,entity_a_degree,entity_b_degree,overlap_type,interpretation,confidence,notes
co_investment,INV0003,INV0171,7,varies,varies,co_investment_pair,Investors Accel and Chiratae Ventures co-invested in 7 funding events (derived from FUNDING.investor_ids split).,MEDIUM,NETWORK_ANALYSIS derived only from FUNDING co-investor strings; previous-company/founder-investor overlap uses FOUNDERS only (prev_companies sparse); no centrality claims made; no arbitrary rankings.
co_investment,INV0029,INV0039,6,varies,varies,co_investment_pair,Investors Tiger Global and Ribbit Capital co-invested in 6 funding events (derived from FUNDING.investor_ids split).,MEDIUM,NETWORK_ANALYSIS derived only from FUNDING co-investor strings; previous-company/founder-investor overlap uses FOUNDERS only (prev_companies sparse); no centrality claims made; no arbitrary rankings.
co_investment,INV0029,INV0066,6,varies,varies,co_investment_pair,Investors Tiger Global and Alpha Wave Global co-invested in 6 funding events (derived from FUNDING.investor_ids split).,MEDIUM,NETWORK_ANALYSIS derived only from FUNDING co-investor strings; previous-company/founder-investor overlap uses FOUNDERS only (prev_companies sparse); no centrality claims made; no arbitrary rankings.
co_investment,INV0029,INV0036,5,varies,varies,co_investment_pair,Investors Tiger Global and GIC co-invested in 5 funding events (derived from FUNDING.investor_ids split).,MEDIUM,NETWORK_ANALYSIS derived only from FUNDING co-investor strings; previous-company/founder-investor overlap uses FOUNDERS only (prev_companies sparse); no centrality claims made; no arbitrary rankings.
co_investment,INV0029,INV0037,5,varies,varies,co_investment_pair,Investors Tiger Global and Peak XV Partners co-invested in 5 funding events (derived from FUNDING.investor_ids split).,MEDIUM,NETWORK_ANALYSIS derived only from FUNDING co-investor strings; previous-company/founder-investor overlap uses FOUNDERS only (prev_companies sparse); no centrality claims made; no arbitrary rankings.
co_investment,INV0037,INV0038,5,varies,varies,co_investment_pair,Investors Peak XV Partners and Y Combinator co-invested in 5 funding events (derived from FUNDING.investor_ids split).,MEDIUM,NETWORK_ANALYSIS derived only from FUNDING co-investor strings; previous-company/founder-investor overlap uses FOUNDERS only (prev_companies sparse); no centrality claims made; no arbitrary rankings.
co_investment,INV0029,INV0084,5,varies,varies,co_investment_pair,Investors Tiger Global and Sequoia Capital India co-invested in 5 funding events (derived from FUNDING.investor_ids split).,MEDIUM,NETWORK_ANALYSIS derived only from FUNDING co-investor strings; previous-company/founder-investor overlap uses FOUNDERS only (prev_companies sparse); no centrality claims made; no arbitrary rankings.
co_investment,INV0003,INV0048,5,varies,varies,co_investment_pair,Investors Accel and Nexus Venture Partners co-invested in 5 funding events (derived from FUNDING.investor_ids split).,MEDIUM,NETWORK_ANALYSIS derived only from FUNDING co-investor strings; previous-company/founder-investor overlap uses FOUNDERS only (prev_companies sparse); no centrality claims made; no arbitrary rankings.
co_investment,INV0003,INV0074,5,varies,varies,co_investment_pair,Investors Accel and Prosus Ventures co-invested in 5 funding events (derived from FUNDING.investor_ids split).,MEDIUM,NETWORK_ANALYSIS derived only from FUNDING co-investor strings; previous-company/founder-investor overlap uses FOUNDERS only (prev_companies sparse); no centrality claims made; no arbitrary rankings.
co_investment,INV0528,INV0979,5,varies,varies,co_investment_pair,Investors IvyCap Ventures and SWC Global co-invested in 5 funding events (derived from FUNDING.investor_ids split).,MEDIUM,NETWORK_ANALYSIS derived only from FUNDING co-investor strings; previous-company/founder-investor overlap uses FOUNDERS only (prev_companies sparse); no centrality claims made; no arbitrary rankings.
co_investment,INV0171,INV1344,5,varies,varies,co_investment_pair,Investors Chiratae Ventures and Aavishkaar Capital co-invested in 5 funding events (derived from FUNDING.investor_ids split).,MEDIUM,NETWORK_ANALYSIS derived only from FUNDING co-investor strings; previous-company/founder-investor overlap uses FOUNDERS only (prev_companies sparse); no centrality claims made; no arbitrary rankings.
co_investment,INV0027,INV0029,4,varies,varies,co_investment_pair,Investors General Atlantic and Tiger Global co-invested in 4 funding events (derived from FUNDING.investor_ids split).,MEDIUM,NETWORK_ANALYSIS derived only from FUNDING co-investor strings; previous-company/founder-investor overlap uses FOUNDERS only (prev_companies sparse); no centrality claims made; no arbitrary rankings.
co_investment,INV0046,INV0048,4,varies,varies,co_investment_pair,Investors Lightspeed and Nexus Venture Partners co-invested in 4 funding events (derived from FUNDING.investor_ids split).,MEDIUM,NETWORK_ANALYSIS derived only from FUNDING co-investor strings; previous-company/founder-investor overlap uses FOUNDERS only (prev_companies sparse); no centrality claims made; no arbitrary rankings.
co_investment,INV0039,INV0084,4,varies,varies,co_investment_pair,Investors Ribbit Capital and Sequoia Capital India co-invested in 4 funding events (derived from FUNDING.investor_ids split).,MEDIUM,NETWORK_ANALYSIS derived only from FUNDING co-investor strings; previous-company/founder-investor overlap uses FOUNDERS only (prev_companies sparse); no centrality claims made; no arbitrary rankings.
co_investment,INV0003,INV0121,4,varies,varies,co_investment_pair,Investors Accel and Elevation Capital co-invested in 4 funding events (derived from FUNDING.investor_ids split).,MEDIUM,NETWORK_ANALYSIS derived only from FUNDING co-investor strings; previous-company/founder-investor overlap uses FOUNDERS only (prev_companies sparse); no centrality claims made; no arbitrary rankings.
co_investment,INV0037,INV0145,4,varies,varies,co_investment_pair,Investors Peak XV Partners and Kae Capital co-invested in 4 funding events (derived from FUNDING.investor_ids split).,MEDIUM,NETWORK_ANALYSIS derived only from FUNDING co-investor strings; previous-company/founder-investor overlap uses FOUNDERS only (prev_companies sparse); no centrality claims made; no arbitrary rankings.
