investor_id,name,type,geography,companies_backed,rounds_participated,sectors,stages,cities,lead_investments,portfolio_notes
INV0001,Kedaara Capital,PE,Mumbai,4,10,ecommerce/eyewear; enterprise / data & AI services; fintech payments infrastructure; logistics,; Series D; Series F; Series G; strategic/PE growth,Bengaluru; Gurugram,3,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0002,SoftBank,Investment,"Tokyo, Japan",5,11,B2B supply-chain commerce / fintech; adtech; edtech; ev (listed); fintech payments infrastructure,"; Equity (early backer; ~$200-220M invested, per ET Dec 2025); Seed/Series A; Series D; Series G; Series H; Total PE raised",Bengaluru; Gurugram,2,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0003,Accel,VC,San Francisco,34,106,AI infrastructure / agentic tooling; B2B construction materials; Beauty-Tech SaaS; Edtech / AI; Food Delivery / Quick Commerce; Foodtech / 10-min food delivery; Mobility / road transport tech (bike taxi-led multimodal); SaaS / dev testing; Spacetech / Laser Communications; Wealthtech / Mutual Fund Advisory; agritech / crop inputs; agritech supply chain; auto/used cars; b2b manufacturing; d2c beauty; edtech exec education; edtech live classes; fintech / B2B pharma; fintech / digital banking; fintech / digital lending; fintech / travel-fintech; fintech payments infrastructure; fintech/trade finance; fitness/healthtech; foodtech cloud kitchen; furniture rental / consumer services; gaming/web3 distribution protocol; healthtech pharmacy; insurtech; media-tech SaaS; saas; saas/billing; spacetech launch; wealthtech,; Later-stage (negotiations); Pre-Series A; Seed; Seed/Series A; Series A; Series B; Series C; Series C (total); Series C (tranche 1); Series D; Series D (prior); Series D/D1; Series E; Series E (tranche 1); Series E-II; Series E2; Series F; Series F (primary); Series G; Series H; Strategic; pre-Series A; seed; venture (extension),"Bengaluru; Bengaluru, Karnataka; Chennai; Gurugram; Hyderabad; Mumbai; Pune; San Francisco; Thane",9,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0004,WestBridge Capital,VC,Singapore,12,42,EdTech; F&B / coffee chain (QSR); Horizontal ecommerce / social commerce; Mobility / road transport tech (bike taxi-led multimodal); SaaS / CRM; auto/used cars; fintech payments infrastructure; gaming diversified; healthtech / wearables; healthtech pharmacy; healthtech saas/ai; proptech / flex workspace (managed offices),; Private growth round (primary + small secondary); Reported (unclosed); Series A; Series B; Series C; Series C (total); Series C2; Series C3; Series D; Series D follow-on; Series E; Series F; Series F (extended); Series F (primary); Series F (secondary),"Bengaluru; Bengaluru, Karnataka; Gurugram; Mumbai; Noida",6,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0005,SoftBank Vision Fund 2,VC,Japan,6,18,AI dev-tools / vibe-coding; Horizontal ecommerce / social commerce; ecommerce; edtech exec education; fintech payments infrastructure; fintech/card infra,; Series B; Series C; Series D (unicorn); Series F; primary,"Bengaluru; Bengaluru, Karnataka; Mumbai",5,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0006,existing investors,,,7,9,EV tractors / agri-tech; agritech / crop inputs; ai / voice ai; ecommerce; fintech payments infrastructure; insurtech; social media,; Equity funding; Series A; Series C; Series D; Venture Debt / Convertible; primary; series-a,Bengaluru; Mumbai; Pune,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0007,SoftBank Vision Fund,VC,"Tokyo, Japan",9,15,AI / computer vision / fleet safety telematics; B2B supply-chain commerce / fintech; Food Delivery / Quick Commerce; Insurtech / Fintech; auto marketplace | used cars; ecommerce/eyewear; fintech payments infrastructure; hospitality/travel-tech; logistics,; Series C; Series E; Series F; Series G; Series H,Bengaluru; Gurugram,3,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0008,Motilal Oswal Alternates,PE,UNKNOWN,1,3,fintech lending,; Series E,Bengaluru,1,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0009,Hornbill Capital,Hedge Fund,"Mumbai, India",4,11,EdTech; fintech lending; fintech/broking; gaming diversified,; Series B; Series C (pre-IPO); Series E,Bengaluru; Mumbai; Noida,3,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0010,MUFG-backed Dragon Funds,Sovereign/Govt,"Tokyo, Japan",1,2,fintech lending,Series E,Bengaluru,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0011,WhiteOak Capital,,,3,3,Renewable Energy / IPP; enterprise AI/analytics; fintech lending,IPO; Secondary; Series E,Bengaluru; Gurugram; Mumbai,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0012,A.P. Moller Holding,,,1,1,fintech lending,Series E,Bengaluru,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0013,Premji Invest,family office/PE,"Mumbai, India",10,40,D2C jewellery; EdTech / Workforce Skilling; SaaS / contract lifecycle management; WealthTech; aviation; ecommerce/eyewear; fintech (housing finance); fintech lending; media-tech SaaS; wealthtech,; Growth equity; Growth equity (two tranches); Series A; Series B; Series B extended; Series C; Series C (tranche 1); Series C extension; Series D; Series D extension; Series E; Series F; growth-equity,Bengaluru; Gurugram; Mumbai; Pune,5,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0014,Advent International,PE,Global,3,12,Beauty-Tech SaaS; fintech lending; media (Josh/Dailyhunt),; Series D; Series D - II; Series E; Series F; Series G,Bengaluru; Hyderabad,1,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0015,MUFG,Sovereign/Govt,"Tokyo, Japan",3,12,Wealth Management / Fintech; fintech lending; fintech/broking,; Series B; Series B (prior); Series D; Series D extension,Bengaluru; Mumbai,1,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0016,Motilal Oswal,PE,UNKNOWN,3,5,Logistics; fintech / digital lending; fintech lending,Debt (conventional); IPO; Series D; Series D extension,Bengaluru,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0017,Newquest,,,1,1,fintech lending,Series D extension,Bengaluru,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0018,Mirae Asset,VC,,3,6,Logistics; edtech; fintech lending,; Series D; Series D extension; Series F; Series H,Bengaluru,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0019,Wiseanya,,,1,2,fintech lending,Series D; Series D extension,Bengaluru,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0020,TPG,PE,Global,7,17,Beauty-Tech SaaS; D2C jewellery; Home interiors marketplace; fintech lending; gaming/fantasy sports; healthtech/pharmacy; logistics,; PE Growth (rumor); Series D; Series D - II; Series E; Series F; Series F (first tranche); Series G,Bengaluru; Hyderabad; Mumbai; Pune,2,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0021,TPG-backed NewQuest Capital Partners,PE,"San Francisco, CA, USA",1,2,fintech lending,Series C (tranche 2),Bengaluru,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0022,Motilal Oswal Private Equity,,,1,2,fintech lending,Series C (tranche 2),Bengaluru,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0023,Mirae Asset Ventures,,,1,2,fintech lending,Series C (tranche 1),Bengaluru,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0024,Alpine Capital Advisors,,,1,2,fintech lending,Series C (tranche 1),Bengaluru,0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0025,Arkam Ventures,VC,"Bengaluru, India",6,13,B2B ecommerce (food & grocery); Fintech / Banking Infrastructure; WealthTech; fintech lending; fintech wealthtech; spacetech launch,; Series B; Series C; Series C (tranche 1); Series C3; Series D; pre-Series C (second),"Bengaluru; Bengaluru, Karnataka; Gurugram; Hyderabad",0,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0026,MUFG (Dragon Funds),Sovereign/Govt,"Tokyo, Japan",1,1,fintech lending,,Bengaluru,1,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0027,General Atlantic,growth equity,USA (global),7,31,analytics / decision sciences / AI; edtech; fintech payments; fintech/bnpl; insurtech; media-tech SaaS; proptech,; Growth; Private Equity; Series B; Series C; Series C / D; Series D; Series E; Series F-II; Series H; Total funding; growth/secondary; growth/secondary mix; secondary,Bengaluru; Mumbai,6,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
INV0028,Walmart,CVC-corporate,,3,15,agritech supply chain; ecommerce; fintech payments,; Acquisition (majority stake); Acquisition (majority); Growth (Flipkart/Walmart-led $145M); growth/secondary; growth/secondary mix; primary,Bengaluru,1,NETWORK LAYER: metrics from INVESTOR_LINKS + INVESTORS; co-investment patterns derivable; no centrality claims made; previous-company data sparse.
