case_id,startup_id,type,regulator,jurisdiction,summary,dates,status,source_id,confidence,notes
LGL0001,S0001,allegation,RBI (licence); counterparties PhonePe/Razorpay/Cashfree,,RBI PA licence Feb 2024; PhonePe/Razorpay/Cashfree pushed merchants away from Juspay orchestration late 2024-early 2025; Pine Labs/CCAvenue supported Juspay,2024-02 licence; Dec 2024-Jan 2025 dispute,licensed; dispute reported resolved/commercially overcome,SRC00003,,
LGL0002,S0001,regulatory,,,,2024-02,confirmed-violation,SRC00016,HIGH,
LGL0003,S0001,complaint,,,,2024-12,settled/commercially overcome,SRC00003,MEDIUM,
LGL0004,S0001,security_incident,,,,2020-08,confirmed-violation,SRC00017,HIGH,
LGL0005,S0002,regulatory,,,,2025-07-01,notice,SRC00059,MEDIUM,
LGL0006,S0002,regulatory,,,,2021-11-18,guideline,SRC00060,MEDIUM,
LGL0007,S0002,licence,,,,2017-05-01,confirmed,SRC00038,HIGH,
LGL0008,S0002,regulatory,,,,2026-07-27,rating_upgrade,SRC00061,HIGH,
LGL0009,S0005,regulatory,,,,2026-04-08,investigation,SRC00109,HIGH,
LGL0010,S0005,regulatory,,,,2025-01-01,penalty + appeal,SRC00109,HIGH,
LGL0011,S0005,litigation,,,,2025-06-01,interim stay,SRC00109,HIGH,
LGL0012,S0011,regulatory,,,,2025-05-13,settlement,SRC00198,HIGH,
LGL0013,S0011,regulatory,,,,2025-05-14,settlement,SRC00212,HIGH,
LGL0014,S0011,regulatory,,,,2025-07-01,approved,SRC00213,HIGH,
LGL0015,S0011,regulatory,,,,2026-01-14,disclosed,SRC00199,HIGH,
LGL0016,S0013,complaint,,,,2025-05-18,investigation,SRC00256,HIGH,
LGL0017,S0013,complaint,,,,2025-10-26,allegation,SRC00261,MEDIUM,
LGL0018,S0013,regulatory,,,,2025-03-06,disclosed,SRC00241,HIGH,
LGL0019,S0013,regulatory,,,,2025-09-10,disclosed,SRC00254,HIGH,
LGL0020,S0015,notice,RBI,,RBI bar on loading prepaid instruments via credit lines hit Slice's card model,2022,historical; pivot to bank followed,,MEDIUM,
LGL0021,S0016,notice,CCI,,CCI approved acquisition of shareholding in Sorting Hat Technologies (Unacademy) and merger into upGrad Education.,Cleared July 2026,Approved,SRC00324,HIGH,
LGL0022,S0018,regulatory,,,,2025-09-30,notice,SRC00356,MEDIUM,Industry-wide SEBI regulatory action affecting Dhan's algo-trading expansion
LGL0023,S0018,regulatory,,,,2026-03-31,rating,SRC00355,HIGH,Rating highlighted rapid growth since Dhan launch in November 2021
LGL0024,S0018,licence,,,,,confirmed,SRC00360,HIGH,
LGL0025,S0019,regulatory,,,,2025-11-21,penalty,SRC00384,HIGH,
LGL0026,S0019,regulatory,,,,2024-07-02,complaint,SRC00388,HIGH,
LGL0027,S0019,regulatory,,,,2024-11-08,complaint,SRC00398,HIGH,
LGL0028,S0019,regulatory,,,,2024-03,ruling,SRC00388,MEDIUM,Part of ongoing legal battle; SCDA filed writ petition alleging e-pharmacies are illegal
LGL0029,S0019,regulatory,,,,2021-11-10,filing,SRC00401,HIGH,IPO was later withdrawn due to unfavorable market conditions
LGL0030,S0019,regulatory,,,,2024,approval,SRC00394,MEDIUM,Part of debt restructuring
