customer_id,startup_id,name,type,geography,announced_date,status,source_id,confidence,notes
CUS0001,S0001,Amazon,enterprise merchant,,unknown,active (as of 2025),SRC00025,MEDIUM,
CUS0002,S0001,Airtel,enterprise merchant,,unknown,active (as of 2025),SRC00025,MEDIUM,
CUS0003,S0001,HDFC,enterprise/bank partner,,unknown,active (as of 2025),SRC00025,MEDIUM,
CUS0004,S0001,PhonePe,enterprise merchant (former partner),,2025-01,exited Juspay partnership early 2025; moved to direct merchant integration,SRC00026,HIGH,
CUS0005,S0001,Swiggy,enterprise merchant,,unknown,active (as of 2025),SRC00025,MEDIUM,
CUS0006,S0001,MakeMyTrip,enterprise merchant,,unknown,historical customer (2021 breach context),SRC00027,LOW,
CUS0007,S0001,Flipkart,enterprise merchant,,unknown,historical customer (2021 breach context),SRC00027,LOW,
CUS0008,S0001,Uber,enterprise merchant,,unknown,historical customer (2021 breach context),SRC00027,LOW,
CUS0009,S0001,Gullak,merchant (HyperUPI),,2023-09,first merchant to integrate HyperUPI,SRC00028,HIGH,
CUS0010,S0002,Salaried professionals,customer_segment,,,active,SRC00054,HIGH,"Primary customer segment; minimum Rs 10,000 monthly income; age 21-60"
CUS0011,S0002,Self-employed individuals,customer_segment,,,active,SRC00054,HIGH,Secondary customer segment; new-to-credit population
CUS0012,S0003,50+ million lifetime registered merchants,merchant,,2026-07-01,active,SRC00078,HIGH,PhonePe official media kit as of July 2026
CUS0013,S0003,718 million lifetime registered users,consumer,,2026-07-01,active,SRC00078,HIGH,PhonePe official media kit as of July 2026
CUS0014,S0005,households,end consumers,,,active,SRC00108,MEDIUM,Nearly 48 million annual transacting users as of Mar 2026; household count not separately disclosed
CUS0015,S0006,Perplexity,AI company (in talks),,2026-02-17,in talks,SRC00123,LOW,
CUS0016,S0006,OpenAI,AI company (in talks),,2026-02-17,in talks,SRC00123,LOW,
CUS0017,S0006,Anthropic,AI company (in talks),,2026-02-17,in talks,SRC00123,LOW,
CUS0018,S0007,~45% of world's top 50 listed media & entertainment companies,enterprise,,,,SRC00137,,
CUS0019,S0008,1.5 cr+ members; 1.26 cr monthly transacting users (FY25),consumer,,,,SRC00147,,
CUS0020,S0009,"1000+ enterprises, 4M+ employees across 130 countries (incl. Starbucks, Nivea, Cigna, WeWork, Crisil, Adidas)",enterprise,,,,SRC00157,,
CUS0021,S0010,"SMBs, solo founders, creators; 70-80% non-coders",sme-consumer,,,,SRC00168,,
CUS0022,S0012,HDFC Bank,enterprise,,,,SRC00233,MEDIUM,
CUS0023,S0012,Flipkart,enterprise,,,,SRC00233,MEDIUM,
CUS0024,S0012,Zomato,enterprise,,,,SRC00233,MEDIUM,
CUS0025,S0012,Ola,enterprise,,,,SRC00233,MEDIUM,
CUS0026,S0013,Ola Group companies,parent_ecosystem,,2025-05-22,active,SRC00241,HIGH,Ola group shifted entire workload to Krutrim Cloud; Azure spend now 0; 2500+ devs signed up
CUS0027,S0013,25+ enterprise customers,external,,2026-05-04,active,SRC00241,MEDIUM,"Telecom, FS, consumer internet, healthcare, logistics; majority of GPU capacity committed"
CUS0028,S0016,LTM (Larsen & Toubro Group),B2B Enterprise,,2026-04-06,Active,SRC00307,HIGH,
CUS0029,S0016,HCLTech,B2B Enterprise,,2024-07-22,Active,SRC00323,HIGH,
CUS0030,S0016,"3,000+ corporate partners",B2B Enterprise,,2026-04,Active,SRC00307,MEDIUM,
CUS0031,S0016,10M+ individual learners,B2C,,2026-05,Active,SRC00305,MEDIUM,
CUS0032,S0017,"Amazon / Microsoft / NVIDIA (incl. 50,000+ teams; 3M tests/day)",enterprise,,,,SRC00348,MEDIUM,
CUS0033,S0017,Amazon,enterprise,,,Active,SRC00331,HIGH,
CUS0034,S0017,Microsoft,enterprise,,,Active,SRC00331,HIGH,
CUS0035,S0017,NVIDIA,enterprise,,,Active,SRC00331,HIGH,
CUS0036,S0017,Meta,enterprise,,,Active,SRC00333,HIGH,
CUS0037,S0017,Google,enterprise,,,Active,SRC00332,HIGH,
CUS0038,S0017,Twitter/X,enterprise,,,Active,SRC00332,HIGH,
CUS0039,S0017,Spotify,enterprise,,,Active,SRC00332,HIGH,
CUS0040,S0017,Airbnb,enterprise,,,Active,SRC00333,HIGH,
CUS0041,S0017,Ikea,enterprise,,,Active,SRC00332,HIGH,
CUS0042,S0017,Tesco,enterprise,,,Active,SRC00332,HIGH,
CUS0043,S0017,Expedia,enterprise,,,Active,SRC00332,HIGH,
CUS0044,S0017,Walt Disney,enterprise,,,Active,SRC00333,MEDIUM,
CUS0045,S0017,MongoDB,enterprise,,,Active,SRC00337,MEDIUM,
CUS0046,S0017,Currys,enterprise,,,Active,SRC00346,MEDIUM,
CUS0047,S0017,Škoda,enterprise,,,Active,SRC00346,MEDIUM,
CUS0048,S0017,Ubisoft,enterprise,,,Active,SRC00346,MEDIUM,
CUS0049,S0017,Elsevier,enterprise,,,Active,SRC00346,MEDIUM,
CUS0050,S0017,Twin Health,enterprise,,,Active,SRC00346,MEDIUM,
CUS0051,S0017,Clari,enterprise,,,Active,SRC00346,MEDIUM,
CUS0052,S0017,TUI,enterprise,,,Active,SRC00346,MEDIUM,
CUS0053,S0019,Cashfree Payments,partner/payment-settlement,,2022-08-23,active,SRC00396,HIGH,Payouts API integration for retail partner settlements
CUS0054,S0019,SBI Health Assist,e-pharmacy vendor,,2024-06-14,discontinued,SRC00397,HIGH,PharmEasy withdrew from SBI e-pharmacy service Jun 2024; migrated to Medibuddy/Tata 1MG/Urlife
CUS0055,S0019,Swiggy Instamart,partnership (rapid drug delivery),,2024-11-08,active,SRC00398,MEDIUM,10-minute medicine delivery via dark stores; opposed by AIOCD
CUS0056,S0019,"80,000+ retail pharmacies",supply network,,2021,active,SRC00399,MEDIUM,"PharmEasy works with ~80,000 pharmacies; target to expand to 120,000 outlets"
CUS0057,S0021,Retail traders/investors,B2C,,,active,SRC00436,HIGH,4th largest broker by NSE active clients; ~2.4M active clients
CUS0058,S0029,BYJU's,EdTech,,2022-06-21,active_unverified,SRC00569,MEDIUM,
