partnership_id,startup_id,partner,type,announced_date,purpose,duration,status,source_id,confidence,notes
PRT0001,S0013,"Nvidia (supercomputer deployment, per Feb 2025 announcement)",,,,,,SRC00240,MEDIUM,
PRT0002,S0014,"HCLTech (strategic: $150M + enterprise GTM, AI datacenter)",,,,,,SRC00262,HIGH,
PRT0003,S0026,Perplexity — real-time web search in meetings,,,,,,SRC00514,HIGH,
PRT0004,S0041,"BCCI Team India title sponsor 2023-2026 ($44M/Rs 358cr, exited Aug 2025)",,,,,,SRC00740,HIGH,
PRT0005,S0044,Wendy's India master franchise (160 stores),,,,,,SRC00786,HIGH,
PRT0006,S0058,"Allied Orbits consortium (Dhruva Space, PierSight, SatSure) for IN-SPACe EO PPP",,2025-08-12,,,,SRC01061,HIGH,
PRT0007,S0058,Dawn Aerospace propulsion for hyperspectral constellation,,2022-02-09,,,,SRC01079,MEDIUM,
PRT0008,S0058,ISISPACE solar panels for Anand mission,,2021,,,,SRC01080,MEDIUM,
PRT0009,S0059,"100+ OEMs, 23+ banks/FIs; Waaree Energies (2024)",,,,,,SRC01092,MEDIUM,
PRT0010,S0060,iHeartMedia audio-content integration,,,,,,SRC01103,HIGH,
PRT0011,S0060,Costco North America retail launch,,,,,,SRC01106,MEDIUM,
PRT0012,S0105,Bolt Earth,,,Fast-charging network collaboration,,,SRC01835,MEDIUM,
PRT0013,S0106,Krispy Kreme India operations,,,Pan-India rights for doughnut/coffee brand,,,SRC01838,MEDIUM,
PRT0014,S0107,Moneycontrol,,,Wealth Review feature on Moneycontrol app,,,SRC01869,MEDIUM,
PRT0015,S0112,DPIIT — manufacturing startup growth initiative (Dec 2024),,,,,,,MEDIUM,
PRT0016,S0191,TakeMe2Space,,,Joint development of optical inter-satellite link (OISL) systems for LEO satellite networks,,,SRC02759,HIGH,
PRT0017,S0196,Mumbai Indians (IPL),Brand partnership,,,,,SRC02791,HIGH,
PRT0018,S0203,IndusLaw,client/partner,2024-06-04,Jurisphere deployed across all five IndusLaw offices,,,SRC02850,HIGH,
PRT0019,S0339,Euler Motors,EV Supply,,,,,SRC03769,MEDIUM,
PRT0020,S0339,Jupiter Electric Mobility,EV Partnership,,,,,SRC03770,MEDIUM,
PRT0021,S0349,Sigma Advanced Systems,strategic,,Partnership for indigenous manufacturing capabilities of anti-drone defence systems,,,SRC03818,MEDIUM,
PRT0022,S0368,Crowd Supply,Crowdfunding platform,,,,,SRC03951,HIGH,
